###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance,
###and habitability modifier
G6Ib, 12.39, 6700, 71.604, 100.234, -4
G6II, 6.54, 715, 23.391, 32.744, -3
G6III, 3.24, 61, 6.832, 9.564, -2
G6IV, 1.83, 8.35, 2.528, 3.539, -1
G6V, 0.86, 0.58, 0.666, 0.933, 0
G6VI, 0.8, 0.464, 0.596, 0.834, -1
G6VII, 0.07, 0.00009, 0.008, 0.012, -2
G5Ia, 23.82, 66000, 224.735, 314.594, -5
G5Ib, 12.34, 6600, 71.067, 99.483, -4
G5II, 6.58, 730, 23.635, 33.086, -3
G5III, 3.19, 58, 6.662, 9.326, -2
G5IV, 1.84, 8.5, 2.55, 3.57, -1
G5V, 0.88, 0.64, 0.7, 0.98, 0
G5VI, 0.83, 0.512, 0.626, 0.876, -1
G5VII, 0.07, 0.00009, 0.008, 0.012, -2
G4Ia, 23.72, 65000, 223.026, 312.202, -5
G4Ib, 12.29, 6500, 70.527, 98.727, -4
G4II, 6.62, 745, 23.877, 33.424, -3
G4III, 3.14, 55, 6.488, 9.082, -2
G4IV, 1.85, 8.65, 2.573, 3.602, -1
G4V, 0.9, 0.7, 0.732, 1.025, 0
G4VI, 0.85, 0.56, 0.655, 0.916, -1
G4VII, 0.07, 0.00009, 0.008, 0.012, -2
G3Ia, 23.62, 64000, 221.304, 309.791, -5
G3Ib, 12.23, 6400, 69.982, 97.964, -4
G3II, 6.65, 760, 24.116, 33.759, -3
G3III, 3.09, 52, 6.308, 8.83, -2
G3IV, 1.86, 8.8, 2.595, 3.633, -1
G3V, 0.92, 0.76, 0.763, 1.068, 0
G3VI, 0.87, 0.608, 0.682, 0.955, -1
G3VII, 0.07, 0.00009, 0.008, 0.012, -2
G2Ia, 23.51, 63000, 219.568, 307.361, -5
G2Ib, 12.18, 6300, 69.433, 97.196, -4
G2II, 6.69, 775, 24.353, 34.09, -3
G2III, 3.06, 50, 6.186, 8.659, -2
G2IV, 1.87, 8.95, 2.617, 3.663, -1
G2V, 0.94, 0.82, 0.792, 1.109, 0
G2VI, 0.89, 0.656, 0.709, 0.992, -1
G2VII, 0.07, 0.0001, 0.009, 0.012, -2
G1Ia, 23.4, 62000, 217.818, 304.912, -5
G1Ib, 12.12, 6200, 68.88, 96.422, -4
G1II, 6.73, 790, 24.587, 34.419, -3
G1III, 3.06, 50, 6.186, 8.659, -2
G1IV, 1.88, 9.1, 2.639, 3.694, -1
G1V, 1, 1, 0.875, 1.225, 0
G1VI, 0.94, 0.8, 0.782, 1.095, -1
G1VII, 0.08, 0.00015, 0.011, 0.015, -2
G0Ia, 23.29, 61000, 216.055, 302.443, -5
G0Ib, 12.06, 6100, 68.322, 95.641, -4
G0II, 6.76, 805, 24.82, 34.744, -3
G0III, 3.09, 52, 6.308, 8.83, -2
G0IV, 1.89, 9.25, 2.661, 3.724, -1
G0V, 1, 1, 0.875, 1.225, 0
G0VI, 0.94, 0.8, 0.782, 1.095, -1
G0VII, 0.09, 0.0002, 0.012, 0.017, -2
F9Ia, 23.18, 60000, 214.276, 299.954, -5
F9Ib, 12.01, 6000, 67.76, 94.854, -4
F9II, 6.8, 820, 25.05, 35.066, -3
F9III, 3.14, 55, 6.488, 9.082, -2
F9IV, 1.9, 9.4, 2.682, 3.754, -1
F9V, 1.16, 1.7, 1.141, 1.597, 0
F9VI, 1.09, 1.36, 1.02, 1.428, -1
F9VII, 0.09, 0.00025, 0.014, 0.019, -2
F8Ia, 23.07, 59000, 212.483, 297.443, -5
F8Ib, 12.01, 6000, 67.76, 94.854, -4
F8II, 6.84, 835, 25.278, 35.385, -3
F8III, 3.19, 58, 6.662, 9.326, -2
F8IV, 1.91, 9.55, 2.703, 3.784, -1
F8V, 1.28, 2.4, 1.355, 1.897, 0
F8VI, 1.2, 1.92, 1.212, 1.697, -1
F8VII, 0.1, 0.0003, 0.015, 0.021, -2
F7Ia, 22.96, 58000, 210.675, 294.912, -6
F7Ib, 12.12, 6200, 68.88, 96.422, -5
F7II, 6.87, 850, 25.504, 35.702, -4
F7III, 3.24, 61, 6.832, 9.564, -3
F7IV, 1.91, 9.7, 2.724, 3.814, -2
F7V, 1.38, 3.1, 1.54, 2.156, -1
F7VI, 1.3, 2.48, 1.378, 1.928, -2
F7VII, 0.1, 0.00035, 0.016, 0.023, -3
F6Ia, 22.85, 57000, 208.851, 292.359, -6
F6Ib, 12.23, 6400, 69.982, 97.964, -5
F6II, 6.9, 865, 25.728, 36.015, -4
F6III, 3.28, 64, 6.998, 9.796, -3
F6IV, 1.92, 9.85, 2.745, 3.843, -2
F6V, 1.46, 3.8, 1.705, 2.387, -1
F6VI, 1.37, 3.04, 1.525, 2.135, -2
F6VII, 0.11, 0.0004, 0.017, 0.024, -3
F5Ia, 22.73, 56000, 207.011, 289.783, -6
F5Ib, 12.34, 6600, 71.067, 99.483, -5
F5II, 6.94, 880, 25.95, 36.326, -4
F5III, 3.32, 67, 7.16, 10.023, -3
F5IV, 1.93, 10, 2.766, 3.872, -2
F5V, 1.54, 4.5, 1.856, 2.598, -1
F5VI, 1.44, 3.6, 1.66, 2.323, -2
F5VII, 0.11, 0.00045, 0.019, 0.026, -3
F4Ia, 22.61, 55000, 205.154, 287.184, -7
F4Ib, 12.45, 6800, 72.136, 100.979, -6
F4II, 6.97, 895, 26.17, 36.634, -5
F4III, 3.37, 70, 7.319, 10.245, -4
F4IV, 2.21, 16, 3.499, 4.898, -3
F4V, 1.6, 5.2, 1.995, 2.792, -2
F4VI, 1.5, 4.16, 1.784, 2.498, -3
F4VII, 0.11, 0.0005, 0.02, 0.027, -4
F3Ia, 22.5, 54000, 203.28, 284.561, -7
F3Ib, 12.55, 7000, 73.189, 102.454, -6
F3II, 7.01, 910, 26.389, 36.94, -5
F3III, 3.41, 73, 7.474, 10.463, -4
F3IV, 2.42, 22, 4.103, 5.744, -3
F3V, 1.66, 5.9, 2.125, 2.974, -2
F3VI, 1.56, 4.72, 1.901, 2.66, -3
F3VII, 0.12, 0.00055, 0.021, 0.029, -4
F2Ia, 22.38, 53000, 201.389, 281.914, -8
F2Ib, 12.65, 7200, 74.228, 103.907, -7
F2II, 7.04, 925, 26.605, 37.243, -6
F2III, 3.45, 76, 7.626, 10.675, -5
F2IV, 2.59, 28, 4.629, 6.48, -4
F2V, 1.71, 6.6, 2.247, 3.146, -3
F2VI, 1.61, 5.28, 2.01, 2.814, -4
F2VII, 0.12, 0.0006, 0.021, 0.03, -5
F1Ia, 22.26, 52000, 199.48, 279.242, -8
F1Ib, 12.75, 7400, 75.251, 105.34, -7
F1II, 7.07, 940, 26.82, 37.544, -6
F1III, 3.48, 79, 7.775, 10.884, -5
F1IV, 2.74, 34, 5.101, 7.14, -4
F1V, 1.76, 7.3, 2.364, 3.309, -3
F1VI, 1.66, 5.84, 2.114, 2.959, -4
F1VII, 0.12, 0.00065, 0.022, 0.031, -5
F0Ia, 22.13, 51000, 197.553, 276.544, -9
F0Ib, 12.85, 7600, 76.262, 106.754, -8
F0II, 7.1, 955, 27.033, 37.843, -7
F0III, 3.52, 82, 7.921, 11.089, -6
F0IV, 2.87, 40, 5.533, 7.745, -5
F0V, 1.81, 8, 2.474, 3.464, -4
F0VI, 1.7, 6.4, 2.213, 3.098, -5
F0VII, 0.13, 0.0007, 0.023, 0.032, -6
A9Ia, 22.01, 50000, 195.607, 273.819, -9
A9Ib, 12.94, 7800, 77.258, 108.15, -8
A9II, 7.13, 970, 27.245, 38.139, -7
A9III, 3.56, 85, 8.065, 11.29, -6
A9IV, 2.99, 46, 5.933, 8.305, -5
A9V, 1.93, 10, 2.766, 3.872, -4
A9VI, 1.81, 8, 2.474, 3.464, -5
A9VII, 0.13, 0.00075, 0.024, 0.034, -6
A8Ia, 22.01, 50000, 195.607, 273.819, -10
A8Ib, 13.04, 8000, 78.243, 109.528, -9
A8II, 7.17, 985, 27.455, 38.432, -8
A8III, 3.59, 88, 8.206, 11.487, -7
A8IV, 3.09, 52, 6.308, 8.83, -6
A8V, 2.24, 16.9, 3.596, 5.034, -5
A8VI, 2.1, 13.52, 3.217, 4.503, -6
A8VII, 0.13, 0.0008, 0.025, 0.035, -7
A7Ia, 22.01, 50000, 195.607, 273.819, -10
A7Ib, 13.13, 8200, 79.215, 110.888, -9
A7II, 7.2, 1000, 27.663, 38.724, -8
A7III, 3.63, 91, 8.345, 11.682, -7
A7IV, 3.19, 58, 6.662, 9.326, -6
A7V, 2.47, 23.8, 4.268, 5.974, -5
A7VI, 2.32, 19.04, 3.817, 5.343, -6
A7VII, 0.13, 0.00085, 0.026, 0.036, -7
A6Ia, 22.01, 50000, 195.607, 273.819, -11
A6Ib, 13.22, 8400, 80.175, 112.232, -10
A6II, 8, 1450, 33.311, 46.63, -9
A6III, 3.66, 94, 8.481, 11.873, -8
A6IV, 3.28, 64, 6.998, 9.796, -7
A6V, 2.66, 30.7, 4.847, 6.785, -6
A6VI, 2.5, 24.56, 4.335, 6.069, -7
A6VII, 0.13, 0.0009, 0.026, 0.037, -8
A5Ia, 22.01, 50000, 195.607, 273.819, -11
A5Ib, 13.31, 8600, 81.124, 113.561, -10
A5II, 8.65, 1900, 38.131, 53.377, -9
A5III, 3.7, 97, 8.616, 12.06, -8
A5IV, 3.37, 70, 7.319, 10.245, -7
A5V, 2.82, 37.6, 5.364, 7.509, -6
A5VI, 2.64, 30.08, 4.798, 6.716, -7
A5VII, 0.14, 0.00095, 0.027, 0.038, -8
A4Ia, 22.01, 50000, 195.607, 273.819, -11
A4Ib, 13.4, 8800, 82.062, 114.873, -10
A4II, 9.19, 2350, 42.407, 59.363, -9
A4III, 3.73, 100, 8.748, 12.246, -8
A4IV, 3.45, 76, 7.626, 10.675, -7
A4V, 2.96, 44.5, 5.836, 8.169, -6
A4VI, 2.78, 35.6, 5.219, 7.306, -7
A4VII, 0.14, 0.001, 0.028, 0.039, -8
A3Ia, 22.01, 50000, 195.607, 273.819, -12
A3Ib, 13.48, 9000, 82.989, 116.172, -11
A3II, 9.66, 2800, 46.289, 64.797, -10
A3III, 4.84, 250, 13.831, 19.362, -9
A3IV, 3.52, 82, 7.921, 11.089, -8
A3V, 3.08, 51.4, 6.272, 8.779, -7
A3VI, 2.89, 41.12, 5.61, 7.852, -8
A3VII, 0.16, 0.0016, 0.035, 0.049, -9
A2Ia, 22.01, 50000, 195.607, 273.819, -12
A2Ib, 13.57, 9200, 83.906, 117.455, -11
A2II, 10.08, 3250, 49.87, 69.81, -10
A2III, 5.54, 400, 17.496, 24.491, -9
A2IV, 3.59, 88, 8.206, 11.487, -8
A2V, 3.2, 58.3, 6.679, 9.35, -7
A2VI, 3, 46.64, 5.974, 8.363, -8
A2VII, 0.17, 0.0022, 0.041, 0.057, -9
A1Ia, 22.01, 50000, 195.607, 273.819, -12
A1Ib, 13.65, 9400, 84.813, 118.725, -11
A1II, 10.46, 3700, 53.211, 74.487, -10
A1III, 6.07, 550, 20.515, 28.718, -9
A1IV, 3.66, 94, 8.481, 11.873, -8
A1V, 3.3, 65.2, 7.064, 9.888, -7
A1VI, 3.1, 52.16, 6.318, 8.844, -8
A1VII, 0.19, 0.0028, 0.046, 0.065, -9
A0Ia, 22.01, 50000, 195.607, 273.819, -13
A0Ib, 13.73, 9600, 85.711, 119.981, -12
A0II, 10.81, 4150, 56.354, 78.886, -11
A0III, 6.5, 700, 23.144, 32.399, -10
A0IV, 3.73, 100, 8.748, 12.246, -9
A0V, 3.39, 72.1, 7.428, 10.398, -8
A0VI, 3.19, 57.68, 6.644, 9.3, -9
A0VII, 0.2, 0.0034, 0.051, 0.071, -10
B9Ia, 22.01, 50000, 195.607, 273.819, -13
B9Ib, 13.81, 9800, 86.599, 121.225, -12
B9II, 11.13, 4600, 59.33, 83.053, -11
B9III, 6.87, 850, 25.504, 35.702, -10
B9IV, 5, 280, 14.638, 20.491, -9
B9V, 3.48, 79, 7.775, 10.884, -8
B9VI, 3.27, 63.2, 6.954, 9.735, -9
B9VII, 0.21, 0.004, 0.055, 0.077, -10
B8Ia, 22.01, 50000, 195.607, 273.819, -13
B8Ib, 13.89, 10000, 87.478, 122.456, -12
B8II, 11.4, 5000, 61.856, 86.589, -11
B8III, 7.2, 1000, 27.663, 38.724, -10
B8IV, 5.76, 460, 18.762, 26.264, -9
B8V, 3.57, 85.9, 8.108, 11.349, -8
B8VI, 3.35, 68.72, 7.252, 10.151, -9
B8VII, 0.21, 0.0046, 0.059, 0.083, -10
B7Ia, 22.01, 50000, 195.607, 273.819, -13
B7Ib, 15.6, 15000, 107.138, 149.977, -12
B7II, 14.09, 10500, 89.638, 125.48, -11
B7III, 7.49, 1150, 29.665, 41.527, -10
B7IV, 6.34, 640, 22.13, 30.979, -9
B7V, 3.65, 92.8, 8.427, 11.796, -8
B7VI, 3.42, 74.24, 7.537, 10.551, -9
B7VII, 0.22, 0.0052, 0.063, 0.088, -10
B6Ia, 22.01, 50000, 195.607, 273.819, -14
B6Ib, 16.94, 20000, 123.713, 173.178, -13
B6II, 15.89, 16000, 110.652, 154.895, -12
B6III, 13.04, 8000, 78.243, 109.528, -11
B6IV, 6.8, 820, 25.05, 35.066, -10
B6V, 3.73, 100, 8.748, 12.246, -9
B6VI, 3.5, 80, 7.824, 10.953, -10
B6VII, 0.23, 0.0058, 0.067, 0.093, -11
B5Ia, 22.01, 50000, 195.607, 273.819, -14
B5Ib, 18.05, 25000, 138.315, 193.619, -13
B5II, 17.29, 21500, 128.268, 179.555, -12
B5III, 15.6, 15000, 107.138, 149.977, -11
B5IV, 7.2, 1000, 27.663, 38.724, -10
B5V, 5.9, 500, 19.561, 27.382, -9
B5VI, 5.54, 400, 17.496, 24.491, -10
B5VII, 0.24, 0.0064, 0.07, 0.098, -11
B4Ia, 22.01, 50000, 195.607, 273.819, -14
B4Ib, 19.02, 30000, 151.516, 212.099, -13
B4II, 18.45, 27000, 143.741, 201.215, -12
B4III, 17.41, 22000, 129.751, 181.631, -11
B4IV, 14.2, 10800, 90.91, 127.26, -10
B4V, 7.2, 1000, 27.663, 38.724, -9
B4VI, 6.75, 800, 24.743, 34.636, -10
B4VII, 0.24, 0.007, 0.073, 0.102, -11
B3Ia, 22.01, 50000, 195.607, 273.819, -14
B3Ib, 19.87, 35000, 163.656, 229.093, -13
B3II, 19.46, 32500, 157.703, 220.76, -12
B3III, 18.84, 29000, 148.97, 208.534, -11
B3IV, 17.08, 20600, 125.555, 175.757, -10
B3V, 10.69, 4000, 55.326, 77.448, -9
B3VI, 10.03, 3200, 49.485, 69.271, -10
B3VII, 0.25, 0.0076, 0.076, 0.107, -11
B2Ia, 22.01, 50000, 195.607, 273.819, -15
B2Ib, 20.65, 40000, 174.956, 244.911, -14
B2II, 20.35, 38000, 170.526, 238.71, -13
B2III, 20.04, 36000, 165.978, 232.343, -12
B2IV, 19.09, 30400, 152.523, 213.509, -11
B2V, 12.55, 7000, 73.189, 102.454, -10
B2VI, 11.77, 5600, 65.463, 91.637, -11
B2VII, 0.25, 0.0083, 0.08, 0.112, -12
B1Ia, 22.01, 50000, 195.607, 273.819, -15
B1Ib, 21.35, 45000, 185.569, 259.767, -14
B1II, 21.15, 43500, 182.45, 255.401, -13
B1III, 21.08, 43000, 181.398, 253.929, -12
B1IV, 20.68, 40200, 175.393, 245.523, -11
B1V, 13.89, 10000, 87.478, 122.456, -10
B1VI, 13.04, 8000, 78.243, 109.528, -11
B1VII, 0.26, 0.0089, 0.083, 0.116, -12
B0Ia, 22.01, 50000, 195.607, 273.819, -15
B0Ib, 22.01, 50000, 195.607, 273.819, -14
B0II, 22.01, 50000, 195.607, 273.819, -13
B0III, 22.01, 50000, 195.607, 273.819, -12
B0IV, 22.01, 50000, 195.607, 273.819, -11
B0V, 22.01, 50000, 195.607, 273.819, -10
B0VI, 20.65, 40000, 174.956, 244.911, -11
B0VII, 0.27, 0.01, 0.087, 0.122, -12
