###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
K0III, 3.41, 73, 3.716, 43.955
K0IV, 1.8, 7.75, 1.211, 14.322
K0V, 0.73, 0.34, 0.254, 3
K0VI, 0.69, 0.272, 0.227, 2.683
K0VII, 0.07, 0.00008, 0.004, 0.046
G9Ia, 24.23, 70000, 115.086, 1361.104
G9Ib, 12.55, 7000, 36.393, 430.419
G9II, 6.6, 740, 11.833, 139.945
G9III, 3.37, 70, 3.639, 43.042
G9IV, 1.8, 7.9, 1.223, 14.46
G9V, 0.77, 0.4, 0.275, 3.254
G9VI, 0.72, 0.32, 0.246, 2.91
G9VII, 0.07, 0.00008, 0.004, 0.046
G8Ia, 24.13, 69000, 114.261, 1351.347
G8Ib, 12.5, 6900, 36.132, 427.333
G8II, 6.55, 720, 11.672, 138.041
G8III, 3.32, 67, 3.56, 42.109
G8IV, 1.81, 8.05, 1.234, 14.596
G8V, 0.8, 0.46, 0.295, 3.489
G8VI, 0.75, 0.368, 0.264, 3.121
G8VII, 0.07, 0.00008, 0.004, 0.046
G7Ia, 24.03, 68000, 113.43, 1341.518
G7Ib, 12.45, 6800, 35.87, 424.225
G7II, 6.5, 700, 11.509, 136.11
G7III, 3.28, 64, 3.48, 41.156
G7IV, 1.82, 8.2, 1.246, 14.732
G7V, 0.83, 0.52, 0.314, 3.71
G7VI, 0.78, 0.416, 0.281, 3.318
G7VII, 0.07, 0.00008, 0.004, 0.046
G6Ia, 23.93, 67000, 112.592, 1331.618
G6Ib, 12.39, 6700, 35.605, 421.095
G6II, 6.54, 715, 11.631, 137.561
G6III, 3.24, 61, 3.397, 40.18
G6IV, 1.83, 8.35, 1.257, 14.866
G6V, 0.86, 0.58, 0.331, 3.918
G6VI, 0.8, 0.464, 0.296, 3.504
G6VII, 0.07, 0.00009, 0.004, 0.049
G5Ia, 23.82, 66000, 111.749, 1321.643
G5Ib, 12.34, 6600, 35.338, 417.94
G5II, 6.58, 730, 11.753, 138.996
G5III, 3.19, 58, 3.313, 39.179
G5IV, 1.84, 8.5, 1.268, 14.999
G5V, 0.88, 0.64, 0.348, 4.116
G5VI, 0.83, 0.512, 0.311, 3.681
G5VII, 0.07, 0.00009, 0.004, 0.049
G4Ia, 23.72, 65000, 110.899, 1311.592
G4Ib, 12.29, 6500, 35.069, 414.762
G4II, 6.62, 745, 11.873, 140.417
G4III, 3.14, 55, 3.226, 38.153
G4IV, 1.85, 8.65, 1.279, 15.13
G4V, 0.9, 0.7, 0.364, 4.304
G4VI, 0.85, 0.56, 0.326, 3.85
G4VII, 0.07, 0.00009, 0.004, 0.049
G3Ia, 23.62, 64000, 110.043, 1301.464
G3Ib, 12.23, 6400, 34.799, 411.559
G3II, 6.65, 760, 11.992, 141.824
G3III, 3.09, 52, 3.137, 37.097
G3IV, 1.86, 8.8, 1.29, 15.261
G3V, 0.92, 0.76, 0.379, 4.485
G3VI, 0.87, 0.608, 0.339, 4.011
G3VII, 0.07, 0.00009, 0.004, 0.049
G2Ia, 23.51, 63000, 109.18, 1291.256
G2Ib, 12.18, 6300, 34.526, 408.331
G2II, 6.69, 775, 12.109, 143.216
G2III, 3.06, 50, 3.076, 36.377
G2IV, 1.87, 8.95, 1.301, 15.391
G2V, 0.94, 0.82, 0.394, 4.659
G2VI, 0.89, 0.656, 0.352, 4.167
G2VII, 0.07, 0.0001, 0.004, 0.051
G1Ia, 23.4, 62000, 108.31, 1280.967
G1Ib, 12.12, 6200, 34.251, 405.077
G1II, 6.73, 790, 12.226, 144.596
G1III, 3.06, 50, 3.076, 36.377
G1IV, 1.88, 9.1, 1.312, 15.519
G1V, 1, 1, 0.435, 5.144
G1VI, 0.94, 0.8, 0.389, 4.601
G1VII, 0.08, 0.00015, 0.005, 0.063
G0Ia, 23.29, 61000, 107.433, 1270.595
G0Ib, 12.06, 6100, 33.973, 401.797
G0II, 6.76, 805, 12.342, 145.962
G0III, 3.09, 52, 3.137, 37.097
G0IV, 1.89, 9.25, 1.323, 15.646
G0V, 1, 1, 0.435, 5.144
G0VI, 0.94, 0.8, 0.389, 4.601
G0VII, 0.09, 0.0002, 0.006, 0.073
F9Ia, 23.18, 60000, 106.548, 1260.137
F9Ib, 12.01, 6000, 33.694, 398.49
F9II, 6.8, 820, 12.456, 147.316
F9III, 3.14, 55, 3.226, 38.153
F9IV, 1.9, 9.4, 1.334, 15.773
F9V, 1.16, 1.7, 0.567, 6.708
F9VI, 1.09, 1.36, 0.507, 5.999
F9VII, 0.09, 0.00025, 0.007, 0.081
F8Ia, 23.07, 59000, 105.657, 1249.592
F8Ib, 12.01, 6000, 33.694, 398.49
F8II, 6.84, 835, 12.569, 148.657
F8III, 3.19, 58, 3.313, 39.179
F8IV, 1.91, 9.55, 1.344, 15.898
F8V, 1.28, 2.4, 0.674, 7.97
F8VI, 1.2, 1.92, 0.603, 7.128
F8VII, 0.1, 0.0003, 0.008, 0.089
F7Ia, 22.96, 58000, 104.758, 1238.957
F7Ib, 12.12, 6200, 34.251, 405.077
F7II, 6.87, 850, 12.682, 149.986
F7III, 3.24, 61, 3.397, 40.18
F7IV, 1.91, 9.7, 1.355, 16.022
F7V, 1.38, 3.1, 0.766, 9.058
F7VI, 1.3, 2.48, 0.685, 8.102
F7VII, 0.1, 0.00035, 0.008, 0.096
F6Ia, 22.85, 57000, 103.851, 1228.23
F6Ib, 12.23, 6400, 34.799, 411.559
F6II, 6.9, 865, 12.793, 151.304
F6III, 3.28, 64, 3.48, 41.156
F6IV, 1.92, 9.85, 1.365, 16.146
F6V, 1.46, 3.8, 0.848, 10.028
F6VI, 1.37, 3.04, 0.758, 8.97
F6VII, 0.11, 0.0004, 0.009, 0.103
F5Ia, 22.73, 56000, 102.936, 1217.408
F5Ib, 12.34, 6600, 35.338, 417.94
F5II, 6.94, 880, 12.904, 152.61
F5III, 3.32, 67, 3.56, 42.109
F5IV, 1.93, 10, 1.376, 16.268
F5V, 1.54, 4.5, 0.923, 10.913
F5VI, 1.44, 3.6, 0.825, 9.761
F5VII, 0.11, 0.00045, 0.009, 0.109
F4Ia, 22.61, 55000, 102.012, 1206.489
F4Ib, 12.45, 6800, 35.87, 424.225
F4II, 6.97, 895, 13.013, 153.905
F4III, 3.37, 70, 3.639, 43.042
F4IV, 2.21, 16, 1.74, 20.578
F4V, 1.6, 5.2, 0.992, 11.731
F4VI, 1.5, 4.16, 0.887, 10.493
F4VII, 0.11, 0.0005, 0.01, 0.115
F3Ia, 22.5, 54000, 101.081, 1195.471
F3Ib, 12.55, 7000, 36.393, 430.419
F3II, 7.01, 910, 13.122, 155.19
F3III, 3.41, 73, 3.716, 43.955
F3IV, 2.42, 22, 2.04, 24.13
F3V, 1.66, 5.9, 1.057, 12.496
F3VI, 1.56, 4.72, 0.945, 11.177
F3VII, 0.12, 0.00055, 0.01, 0.121
F2Ia, 22.38, 53000, 100.14, 1184.35
F2Ib, 12.65, 7200, 36.909, 436.524
F2II, 7.04, 925, 13.229, 156.464
F2III, 3.45, 76, 3.792, 44.849
F2IV, 2.59, 28, 2.302, 27.222
F2V, 1.71, 6.6, 1.117, 13.216
F2VI, 1.61, 5.28, 1, 11.821
F2VII, 0.12, 0.0006, 0.011, 0.126
F1Ia, 22.26, 52000, 99.191, 1173.124
F1Ib, 12.75, 7400, 37.419, 442.546
F1II, 7.07, 940, 13.336, 157.727
F1III, 3.48, 79, 3.866, 45.725
F1IV, 2.74, 34, 2.536, 29.997
F1V, 1.76, 7.3, 1.175, 13.9
F1VI, 1.66, 5.84, 1.051, 12.432
F1VII, 0.12, 0.00065, 0.011, 0.131
F0Ia, 22.13, 51000, 98.233, 1161.789
F0Ib, 12.85, 7600, 37.921, 448.486
F0II, 7.1, 955, 13.442, 158.981
F0III, 3.52, 82, 3.939, 46.585
F0IV, 2.87, 40, 2.751, 32.537
F0V, 1.81, 8, 1.23, 14.551
F0VI, 1.7, 6.4, 1.1, 13.015
F0VII, 0.13, 0.0007, 0.012, 0.136
A9Ia, 22.01, 50000, 97.265, 1150.343
A9Ib, 12.94, 7800, 38.417, 454.349
A9II, 7.13, 970, 13.547, 160.224
A9III, 3.56, 85, 4.01, 47.43
A9IV, 2.99, 46, 2.95, 34.892
A9V, 1.93, 10, 1.376, 16.268
A9VI, 1.81, 8, 1.23, 14.551
A9VII, 0.13, 0.00075, 0.012, 0.141
A8Ia, 22.01, 50000, 97.265, 1150.343
A8Ib, 13.04, 8000, 38.906, 460.137
A8II, 7.17, 985, 13.652, 161.458
A8III, 3.59, 88, 4.08, 48.26
A8IV, 3.09, 52, 3.137, 37.097
A8V, 2.24, 16.9, 1.788, 21.149
A8VI, 2.1, 13.52, 1.599, 18.916
A8VII, 0.13, 0.0008, 0.012, 0.146
A7Ia, 22.01, 50000, 97.265, 1150.343
A7Ib, 13.13, 8200, 39.389, 465.853
A7II, 7.2, 1000, 13.755, 162.683
A7III, 3.63, 91, 4.149, 49.075
A7IV, 3.19, 58, 3.313, 39.179
A7V, 2.47, 23.8, 2.122, 25.098
A7VI, 2.32, 19.04, 1.898, 22.448
A7VII, 0.13, 0.00085, 0.013, 0.15
A6Ia, 22.01, 50000, 97.265, 1150.343
A6Ib, 13.22, 8400, 39.867, 471.5
A6II, 8, 1450, 16.564, 195.896
A6III, 3.66, 94, 4.217, 49.878
A6IV, 3.28, 64, 3.48, 41.156
A6V, 2.66, 30.7, 2.41, 28.504
A6VI, 2.5, 24.56, 2.156, 25.495
A6VII, 0.13, 0.0009, 0.013, 0.154
A5Ia, 22.01, 50000, 97.265, 1150.343
A5Ib, 13.31, 8600, 40.339, 477.08
A5II, 8.65, 1900, 18.96, 224.243
A5III, 3.7, 97, 4.284, 50.667
A5IV, 3.37, 70, 3.639, 43.042
A5V, 2.82, 37.6, 2.667, 31.545
A5VI, 2.64, 30.08, 2.386, 28.215
A5VII, 0.14, 0.00095, 0.013, 0.159
A4Ia, 22.01, 50000, 97.265, 1150.343
A4Ib, 13.4, 8800, 40.805, 482.596
A4II, 9.19, 2350, 21.087, 249.388
A4III, 3.73, 100, 4.35, 51.445
A4IV, 3.45, 76, 3.792, 44.849
A4V, 2.96, 44.5, 2.902, 34.318
A4VI, 2.78, 35.6, 2.595, 30.695
A4VII, 0.14, 0.001, 0.014, 0.163
A3Ia, 22.01, 50000, 97.265, 1150.343
A3Ib, 13.48, 9000, 41.266, 488.049
A3II, 9.66, 2800, 23.017, 272.221
A3III, 4.84, 250, 6.878, 81.342
A3IV, 3.52, 82, 3.939, 46.585
A3V, 3.08, 51.4, 3.119, 36.883
A3VI, 2.89, 41.12, 2.789, 32.989
A3VII, 0.16, 0.0016, 0.017, 0.206
A2Ia, 22.01, 50000, 97.265, 1150.343
A2Ib, 13.57, 9200, 41.722, 493.442
A2II, 10.08, 3250, 24.798, 293.281
A2III, 5.54, 400, 8.7, 102.89
A2IV, 3.59, 88, 4.08, 48.26
A2V, 3.2, 58.3, 3.321, 39.28
A2VI, 3, 46.64, 2.971, 35.134
A2VII, 0.17, 0.0022, 0.02, 0.241
A1Ia, 22.01, 50000, 97.265, 1150.343
A1Ib, 13.65, 9400, 42.173, 498.777
A1II, 10.46, 3700, 26.459, 312.927
A1III, 6.07, 550, 10.201, 120.649
A1IV, 3.66, 94, 4.217, 49.878
A1V, 3.3, 65.2, 3.512, 41.54
A1VI, 3.1, 52.16, 3.142, 37.154
A1VII, 0.19, 0.0028, 0.023, 0.272
A0Ia, 22.01, 50000, 97.265, 1150.343
A0Ib, 13.73, 9600, 42.619, 504.055
A0II, 10.81, 4150, 28.022, 331.41
A0III, 6.5, 700, 11.509, 136.11
A0IV, 3.73, 100, 4.35, 51.445
A0V, 3.39, 72.1, 3.694, 43.683
A0VI, 3.19, 57.68, 3.304, 39.071
A0VII, 0.2, 0.0034, 0.025, 0.3
B9Ia, 22.01, 50000, 97.265, 1150.343
B9Ib, 13.81, 9800, 43.061, 509.278
B9II, 11.13, 4600, 29.502, 348.916
B9III, 6.87, 850, 12.682, 149.986
B9IV, 5, 280, 7.279, 86.084
B9V, 3.48, 79, 3.866, 45.725
B9VI, 3.27, 63.2, 3.458, 40.898
B9VII, 0.21, 0.004, 0.028, 0.325
B8Ia, 22.01, 50000, 97.265, 1150.343
B8Ib, 13.89, 10000, 43.498, 514.449
B8II, 11.4, 5000, 30.758, 363.77
B8III, 7.2, 1000, 13.755, 162.683
B8IV, 5.76, 460, 9.329, 110.337
B8V, 3.57, 85.9, 4.032, 47.68
B8VI, 3.35, 68.72, 3.606, 42.647
B8VII, 0.21, 0.0046, 0.03, 0.349
B7Ia, 22.01, 50000, 97.265, 1150.343
B7Ib, 15.6, 15000, 53.274, 630.069
B7II, 14.09, 10500, 44.572, 527.153
B7III, 7.49, 1150, 14.751, 174.458
B7IV, 6.34, 640, 11.004, 130.146
B7V, 3.65, 92.8, 4.19, 49.558
B7VI, 3.42, 74.24, 3.748, 44.326
B7VII, 0.22, 0.0052, 0.031, 0.371
B6Ia, 22.01, 50000, 97.265, 1150.343
B6Ib, 16.94, 20000, 61.516, 727.541
B6II, 15.89, 16000, 55.021, 650.732
B6III, 13.04, 8000, 38.906, 460.137
B6IV, 6.8, 820, 12.456, 147.316
B6V, 3.73, 100, 4.35, 51.445
B6VI, 3.5, 80, 3.891, 46.014
B6VII, 0.23, 0.0058, 0.033, 0.392
B5Ia, 22.01, 50000, 97.265, 1150.343
B5Ib, 18.05, 25000, 68.777, 813.415
B5II, 17.29, 21500, 63.781, 754.33
B5III, 15.6, 15000, 53.274, 630.069
B5IV, 7.2, 1000, 13.755, 162.683
B5V, 5.9, 500, 9.727, 115.034
B5VI, 5.54, 400, 8.7, 102.89
B5VII, 0.24, 0.0064, 0.035, 0.412
B4Ia, 22.01, 50000, 97.265, 1150.343
B4Ib, 19.02, 30000, 75.341, 891.052
B4II, 18.45, 27000, 71.475, 845.326
B4III, 17.41, 22000, 64.518, 763.051
B4IV, 14.2, 10800, 45.205, 534.631
B4V, 7.2, 1000, 13.755, 162.683
B4VI, 6.75, 800, 12.303, 145.508
B4VII, 0.24, 0.007, 0.036, 0.43
B3Ia, 22.01, 50000, 97.265, 1150.343
B3Ib, 19.87, 35000, 81.378, 962.446
B3II, 19.46, 32500, 78.418, 927.436
B3III, 18.84, 29000, 74.075, 876.075
B3IV, 17.08, 20600, 62.432, 738.373
B3V, 10.69, 4000, 27.511, 325.366
B3VI, 10.03, 3200, 24.606, 291.016
B3VII, 0.25, 0.0076, 0.038, 0.448
B2Ia, 22.01, 50000, 97.265, 1150.343
B2Ib, 20.65, 40000, 86.996, 1028.898
B2II, 20.35, 38000, 84.794, 1002.845
B2III, 20.04, 36000, 82.532, 976.098
B2IV, 19.09, 30400, 75.842, 896.972
B2V, 12.55, 7000, 36.393, 430.419
B2VI, 11.77, 5600, 32.551, 384.978
B2VII, 0.25, 0.0083, 0.04, 0.469
B1Ia, 22.01, 50000, 97.265, 1150.343
B1Ib, 21.35, 45000, 92.274, 1091.311
B1II, 21.15, 43500, 90.723, 1072.968
B1III, 21.08, 43000, 90.2, 1066.784
B1IV, 20.68, 40200, 87.214, 1031.467
B1V, 13.89, 10000, 43.498, 514.449
B1VI, 13.04, 8000, 38.906, 460.137
B1VII, 0.26, 0.0089, 0.041, 0.485
B0Ia, 22.01, 50000, 97.265, 1150.343
B0Ib, 22.01, 50000, 97.265, 1150.343
B0II, 22.01, 50000, 97.265, 1150.343
B0III, 22.01, 50000, 97.265, 1150.343
B0IV, 22.01, 50000, 97.265, 1150.343
B0V, 22.01, 50000, 97.265, 1150.343
B0VI, 20.65, 40000, 86.996, 1028.898
B0VII, 0.27, 0.01, 0.043, 0.514
