###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
K5VI, 0.46, 0.068, 0.155, 0.719
K5VII, 0.06, 0.00006, 0.005, 0.021
K4Ia, 24.71, 75000, 162.496, 755.383
K4Ib, 12.8, 7500, 51.386, 238.873
K4II, 6.85, 840, 17.197, 79.942
K4III, 3.56, 85, 5.47, 25.43
K4V, 0.52, 0.1, 0.188, 0.872
K4VI, 0.49, 0.08, 0.168, 0.78
K4VII, 0.06, 0.00006, 0.005, 0.021
K3Ia, 24.62, 74000, 161.409, 750.33
K3Ib, 12.75, 7400, 51.042, 237.275
K3II, 6.8, 820, 16.991, 78.985
K3III, 3.52, 82, 5.373, 24.977
K3IV, 1.76, 7.3, 1.603, 7.452
K3V, 0.59, 0.16, 0.237, 1.103
K3VI, 0.56, 0.128, 0.212, 0.987
K3VII, 0.06, 0.00007, 0.005, 0.023
K2Ia, 24.52, 73000, 160.314, 745.243
K2Ib, 12.7, 7300, 50.696, 235.667
K2II, 6.75, 800, 16.782, 78.016
K2III, 3.48, 79, 5.274, 24.516
K2IV, 1.77, 7.45, 1.62, 7.529
K2V, 0.65, 0.22, 0.278, 1.294
K2VI, 0.61, 0.176, 0.249, 1.157
K2VII, 0.06, 0.00007, 0.005, 0.023
K1Ia, 24.42, 72000, 159.213, 740.121
K1Ib, 12.65, 7200, 50.347, 234.047
K1II, 6.7, 780, 16.571, 77.034
K1III, 3.45, 76, 5.173, 24.046
K1IV, 1.79, 7.6, 1.636, 7.604
K1V, 0.7, 0.28, 0.314, 1.46
K1VI, 0.65, 0.224, 0.281, 1.305
K1VII, 0.06, 0.00007, 0.005, 0.023
K0Ia, 24.33, 71000, 158.103, 734.963
K0Ib, 12.6, 7100, 49.997, 232.416
K0II, 6.65, 760, 16.358, 76.04
K0III, 3.41, 73, 5.07, 23.567
K0IV, 1.8, 7.75, 1.652, 7.679
K0V, 0.73, 0.34, 0.346, 1.608
K0VI, 0.69, 0.272, 0.309, 1.439
K0VII, 0.07, 0.00008, 0.005, 0.025
G9Ia, 24.23, 70000, 156.986, 729.769
G9Ib, 12.55, 7000, 49.643, 230.773
G9II, 6.6, 740, 16.141, 75.033
G9III, 3.37, 70, 4.964, 23.077
G9IV, 1.8, 7.9, 1.668, 7.753
G9V, 0.77, 0.4, 0.375, 1.744
G9VI, 0.72, 0.32, 0.336, 1.56
G9VII, 0.07, 0.00008, 0.005, 0.025
G8Ia, 24.13, 69000, 155.86, 724.538
G8Ib, 12.5, 6900, 49.287, 229.119
G8II, 6.55, 720, 15.921, 74.012
G8III, 3.32, 67, 4.857, 22.577
G8IV, 1.81, 8.05, 1.683, 7.826
G8V, 0.8, 0.46, 0.402, 1.871
G8VI, 0.75, 0.368, 0.36, 1.673
G8VII, 0.07, 0.00008, 0.005, 0.025
G7Ia, 24.03, 68000, 154.727, 719.268
G7Ib, 12.45, 6800, 48.929, 227.453
G7II, 6.5, 700, 15.699, 72.977
G7III, 3.28, 64, 4.747, 22.066
G7IV, 1.82, 8.2, 1.699, 7.898
G7V, 0.83, 0.52, 0.428, 1.989
G7VI, 0.78, 0.416, 0.383, 1.779
G7VII, 0.07, 0.00008, 0.005, 0.025
G6Ia, 23.93, 67000, 153.585, 713.96
G6Ib, 12.39, 6700, 48.568, 225.774
G6II, 6.54, 715, 15.866, 73.755
G6III, 3.24, 61, 4.634, 21.543
G6IV, 1.83, 8.35, 1.715, 7.97
G6V, 0.86, 0.58, 0.452, 2.101
G6VI, 0.8, 0.464, 0.404, 1.879
G6VII, 0.07, 0.00009, 0.006, 0.026
G5Ia, 23.82, 66000, 152.434, 708.612
G5Ib, 12.34, 6600, 48.204, 224.083
G5II, 6.58, 730, 16.031, 74.524
G5III, 3.19, 58, 4.519, 21.006
G5IV, 1.84, 8.5, 1.73, 8.042
G5V, 0.88, 0.64, 0.475, 2.207
G5VI, 0.83, 0.512, 0.425, 1.974
G5VII, 0.07, 0.00009, 0.006, 0.026
G4Ia, 23.72, 65000, 151.275, 703.223
G4Ib, 12.29, 6500, 47.837, 222.379
G4II, 6.62, 745, 16.195, 75.286
G4III, 3.14, 55, 4.4, 20.456
G4IV, 1.85, 8.65, 1.745, 8.112
G4V, 0.9, 0.7, 0.496, 2.308
G4VI, 0.85, 0.56, 0.444, 2.064
G4VII, 0.07, 0.00009, 0.006, 0.026
G3Ia, 23.62, 64000, 150.107, 697.793
G3Ib, 12.23, 6400, 47.468, 220.661
G3II, 6.65, 760, 16.358, 76.04
G3III, 3.09, 52, 4.279, 19.89
G3IV, 1.86, 8.8, 1.76, 8.182
G3V, 0.92, 0.76, 0.517, 2.405
G3VI, 0.87, 0.608, 0.463, 2.151
G3VII, 0.07, 0.00009, 0.006, 0.026
G2Ia, 23.51, 63000, 148.93, 692.32
G2Ib, 12.18, 6300, 47.096, 218.931
G2II, 6.69, 775, 16.518, 76.787
G2III, 3.06, 50, 4.196, 19.504
G2IV, 1.87, 8.95, 1.775, 8.252
G2V, 0.94, 0.82, 0.537, 2.498
G2VI, 0.89, 0.656, 0.481, 2.234
G2VII, 0.07, 0.0001, 0.006, 0.028
G1Ia, 23.4, 62000, 147.743, 686.803
G1Ib, 12.12, 6200, 46.72, 217.186
G1II, 6.73, 790, 16.677, 77.526
G1III, 3.06, 50, 4.196, 19.504
G1IV, 1.88, 9.1, 1.79, 8.321
G1V, 1, 1, 0.593, 2.758
G1VI, 0.94, 0.8, 0.531, 2.467
G1VII, 0.08, 0.00015, 0.007, 0.034
G0Ia, 23.29, 61000, 146.547, 681.242
G0Ib, 12.06, 6100, 46.342, 215.428
G0II, 6.76, 805, 16.835, 78.259
G0III, 3.09, 52, 4.279, 19.89
G0IV, 1.89, 9.25, 1.805, 8.389
G0V, 1, 1, 0.593, 2.758
G0VI, 0.94, 0.8, 0.531, 2.467
G0VII, 0.09, 0.0002, 0.008, 0.039
F9Ia, 23.18, 60000, 145.34, 675.635
F9Ib, 12.01, 6000, 45.961, 213.655
F9II, 6.8, 820, 16.991, 78.985
F9III, 3.14, 55, 4.4, 20.456
F9IV, 1.9, 9.4, 1.819, 8.457
F9V, 1.16, 1.7, 0.774, 3.596
F9VI, 1.09, 1.36, 0.692, 3.217
F9VII, 0.09, 0.00025, 0.009, 0.044
F8Ia, 23.07, 59000, 144.124, 669.981
F8Ib, 12.01, 6000, 45.961, 213.655
F8II, 6.84, 835, 17.146, 79.704
F8III, 3.19, 58, 4.519, 21.006
F8IV, 1.91, 9.55, 1.834, 8.524
F8V, 1.28, 2.4, 0.919, 4.273
F8VI, 1.2, 1.92, 0.822, 3.822
F8VII, 0.1, 0.0003, 0.01, 0.048
F7Ia, 22.96, 58000, 142.898, 664.279
F7Ib, 12.12, 6200, 46.72, 217.186
F7II, 6.87, 850, 17.299, 80.417
F7III, 3.24, 61, 4.634, 21.543
F7IV, 1.91, 9.7, 1.848, 8.591
F7V, 1.38, 3.1, 1.045, 4.856
F7VI, 1.3, 2.48, 0.934, 4.344
F7VII, 0.1, 0.00035, 0.011, 0.052
F6Ia, 22.85, 57000, 141.66, 658.527
F6Ib, 12.23, 6400, 47.468, 220.661
F6II, 6.9, 865, 17.451, 81.123
F6III, 3.28, 64, 4.747, 22.066
F6IV, 1.92, 9.85, 1.862, 8.657
F6V, 1.46, 3.8, 1.157, 5.377
F6VI, 1.37, 3.04, 1.035, 4.809
F6VII, 0.11, 0.0004, 0.012, 0.055
F5Ia, 22.73, 56000, 140.412, 652.725
F5Ib, 12.34, 6600, 48.204, 224.083
F5II, 6.94, 880, 17.602, 81.823
F5III, 3.32, 67, 4.857, 22.577
F5IV, 1.93, 10, 1.876, 8.722
F5V, 1.54, 4.5, 1.259, 5.851
F5VI, 1.44, 3.6, 1.126, 5.233
F5VII, 0.11, 0.00045, 0.013, 0.059
F4Ia, 22.61, 55000, 139.153, 646.871
F4Ib, 12.45, 6800, 48.929, 227.453
F4II, 6.97, 895, 17.751, 82.518
F4III, 3.37, 70, 4.964, 23.077
F4IV, 2.21, 16, 2.373, 11.033
F4V, 1.6, 5.2, 1.353, 6.29
F4VI, 1.5, 4.16, 1.21, 5.626
F4VII, 0.11, 0.0005, 0.013, 0.062
F3Ia, 22.5, 54000, 137.882, 640.964
F3Ib, 12.55, 7000, 49.643, 230.773
F3II, 7.01, 910, 17.899, 83.206
F3III, 3.41, 73, 5.07, 23.567
F3IV, 2.42, 22, 2.783, 12.937
F3V, 1.66, 5.9, 1.441, 6.7
F3VI, 1.56, 4.72, 1.289, 5.992
F3VII, 0.12, 0.00055, 0.014, 0.065
F2Ia, 22.38, 53000, 136.599, 635.001
F2Ib, 12.65, 7200, 50.347, 234.047
F2II, 7.04, 925, 18.046, 83.889
F2III, 3.45, 76, 5.173, 24.046
F2IV, 2.59, 28, 3.14, 14.595
F2V, 1.71, 6.6, 1.524, 7.086
F2VI, 1.61, 5.28, 1.363, 6.338
F2VII, 0.12, 0.0006, 0.015, 0.068
F1Ia, 22.26, 52000, 135.305, 628.982
F1Ib, 12.75, 7400, 51.042, 237.275
F1II, 7.07, 940, 18.192, 84.567
F1III, 3.48, 79, 5.274, 24.516
F1IV, 2.74, 34, 3.46, 16.083
F1V, 1.76, 7.3, 1.603, 7.452
F1VI, 1.66, 5.84, 1.434, 6.666
F1VII, 0.12, 0.00065, 0.015, 0.07
F0Ia, 22.13, 51000, 133.997, 622.905
F0Ib, 12.85, 7600, 51.727, 240.46
F0II, 7.1, 955, 18.336, 85.239
F0III, 3.52, 82, 5.373, 24.977
F0IV, 2.87, 40, 3.753, 17.445
F0V, 1.81, 8, 1.678, 7.802
F0VI, 1.7, 6.4, 1.501, 6.978
F0VII, 0.13, 0.0007, 0.016, 0.073
A9Ia, 22.01, 50000, 132.677, 616.767
A9Ib, 12.94, 7800, 52.403, 243.604
A9II, 7.13, 970, 18.48, 85.906
A9III, 3.56, 85, 5.47, 25.43
A9IV, 2.99, 46, 4.024, 18.707
A9V, 1.93, 10, 1.876, 8.722
A9VI, 1.81, 8, 1.678, 7.802
A9VII, 0.13, 0.00075, 0.016, 0.076
A8Ia, 22.01, 50000, 132.677, 616.767
A8Ib, 13.04, 8000, 53.071, 246.707
A8II, 7.17, 985, 18.622, 86.567
A8III, 3.59, 88, 5.566, 25.875
A8IV, 3.09, 52, 4.279, 19.89
A8V, 2.24, 16.9, 2.439, 11.339
A8VI, 2.1, 13.52, 2.182, 10.142
A8VII, 0.13, 0.0008, 0.017, 0.078
A7Ia, 22.01, 50000, 132.677, 616.767
A7Ib, 13.13, 8200, 53.73, 249.772
A7II, 7.2, 1000, 18.763, 87.224
A7III, 3.63, 91, 5.66, 26.312
A7IV, 3.19, 58, 4.519, 21.006
A7V, 2.47, 23.8, 2.895, 13.456
A7VI, 2.32, 19.04, 2.589, 12.036
A7VII, 0.13, 0.00085, 0.017, 0.08
A6Ia, 22.01, 50000, 132.677, 616.767
A6Ib, 13.22, 8400, 54.381, 252.799
A6II, 8, 1450, 22.594, 105.032
A6III, 3.66, 94, 5.753, 26.742
A6IV, 3.28, 64, 4.747, 22.066
A6V, 2.66, 30.7, 3.288, 15.283
A6VI, 2.5, 24.56, 2.941, 13.669
A6VII, 0.13, 0.0009, 0.018, 0.083
A5Ia, 22.01, 50000, 132.677, 616.767
A5Ib, 13.31, 8600, 55.025, 255.791
A5II, 8.65, 1900, 25.864, 120.23
A5III, 3.7, 97, 5.844, 27.166
A5IV, 3.37, 70, 4.964, 23.077
A5V, 2.82, 37.6, 3.638, 16.913
A5VI, 2.64, 30.08, 3.254, 15.128
A5VII, 0.14, 0.00095, 0.018, 0.085
A4Ia, 22.01, 50000, 132.677, 616.767
A4Ib, 13.4, 8800, 55.661, 258.748
A4II, 9.19, 2350, 28.764, 133.712
A4III, 3.73, 100, 5.934, 27.583
A4IV, 3.45, 76, 5.173, 24.046
A4V, 2.96, 44.5, 3.958, 18.4
A4VI, 2.78, 35.6, 3.54, 16.457
A4VII, 0.14, 0.001, 0.019, 0.087
A3Ia, 22.01, 50000, 132.677, 616.767
A3Ib, 13.48, 9000, 56.29, 261.672
A3II, 9.66, 2800, 31.397, 145.954
A3III, 4.84, 250, 9.382, 43.612
A3IV, 3.52, 82, 5.373, 24.977
A3V, 3.08, 51.4, 4.254, 19.775
A3VI, 2.89, 41.12, 3.805, 17.687
A3VII, 0.16, 0.0016, 0.024, 0.11
A2Ia, 22.01, 50000, 132.677, 616.767
A2Ib, 13.57, 9200, 56.912, 264.564
A2II, 10.08, 3250, 33.826, 157.245
A2III, 5.54, 400, 11.867, 55.165
A2IV, 3.59, 88, 5.566, 25.875
A2V, 3.2, 58.3, 4.53, 21.061
A2VI, 3, 46.64, 4.052, 18.837
A2VII, 0.17, 0.0022, 0.028, 0.129
A1Ia, 22.01, 50000, 132.677, 616.767
A1Ib, 13.65, 9400, 57.527, 267.424
A1II, 10.46, 3700, 36.092, 167.779
A1III, 6.07, 550, 13.915, 64.687
A1IV, 3.66, 94, 5.753, 26.742
A1V, 3.3, 65.2, 4.791, 22.272
A1VI, 3.1, 52.16, 4.285, 19.921
A1VII, 0.19, 0.0028, 0.031, 0.146
A0Ia, 22.01, 50000, 132.677, 616.767
A0Ib, 13.73, 9600, 58.136, 270.254
A0II, 10.81, 4150, 38.224, 177.689
A0III, 6.5, 700, 15.699, 72.977
A0IV, 3.73, 100, 5.934, 27.583
A0V, 3.39, 72.1, 5.038, 23.421
A0VI, 3.19, 57.68, 4.506, 20.948
A0VII, 0.2, 0.0034, 0.035, 0.161
B9Ia, 22.01, 50000, 132.677, 616.767
B9Ib, 13.81, 9800, 58.739, 273.055
B9II, 11.13, 4600, 40.243, 187.075
B9III, 6.87, 850, 17.299, 80.417
B9IV, 5, 280, 9.929, 46.155
B9V, 3.48, 79, 5.274, 24.516
B9VI, 3.27, 63.2, 4.717, 21.928
B9VII, 0.21, 0.004, 0.038, 0.174
B8Ia, 22.01, 50000, 132.677, 616.767
B8Ib, 13.89, 10000, 59.335, 275.827
B8II, 11.4, 5000, 41.956, 195.039
B8III, 7.2, 1000, 18.763, 87.224
B8IV, 5.76, 460, 12.726, 59.158
B8V, 3.57, 85.9, 5.499, 25.564
B8VI, 3.35, 68.72, 4.919, 22.865
B8VII, 0.21, 0.0046, 0.04, 0.187
B7Ia, 22.01, 50000, 132.677, 616.767
B7Ib, 15.6, 15000, 72.67, 337.817
B7II, 14.09, 10500, 60.8, 282.638
B7III, 7.49, 1150, 20.121, 93.537
B7IV, 6.34, 640, 15.011, 69.779
B7V, 3.65, 92.8, 5.716, 26.571
B7VI, 3.42, 74.24, 5.112, 23.766
B7VII, 0.22, 0.0052, 0.043, 0.199
B6Ia, 22.01, 50000, 132.677, 616.767
B6Ib, 16.94, 20000, 83.912, 390.078
B6II, 15.89, 16000, 75.054, 348.896
B6III, 13.04, 8000, 53.071, 246.707
B6IV, 6.8, 820, 16.991, 78.985
B6V, 3.73, 100, 5.934, 27.583
B6VI, 3.5, 80, 5.307, 24.671
B6VII, 0.23, 0.0058, 0.045, 0.21
B5Ia, 22.01, 50000, 132.677, 616.767
B5Ib, 18.05, 25000, 93.817, 436.12
B5II, 17.29, 21500, 87.002, 404.441
B5III, 15.6, 15000, 72.67, 337.817
B5IV, 7.2, 1000, 18.763, 87.224
B5V, 5.9, 500, 13.268, 61.677
B5VI, 5.54, 400, 11.867, 55.165
B5VII, 0.24, 0.0064, 0.047, 0.221
B4Ia, 22.01, 50000, 132.677, 616.767
B4Ib, 19.02, 30000, 102.771, 477.746
B4II, 18.45, 27000, 97.497, 453.23
B4III, 17.41, 22000, 88.008, 409.117
B4IV, 14.2, 10800, 61.663, 286.648
B4V, 7.2, 1000, 18.763, 87.224
B4VI, 6.75, 800, 16.782, 78.016
B4VII, 0.24, 0.007, 0.05, 0.231
B3Ia, 22.01, 50000, 132.677, 616.767
B3Ib, 19.87, 35000, 111.006, 516.025
B3II, 19.46, 32500, 106.968, 497.254
B3III, 18.84, 29000, 101.044, 469.716
B3IV, 17.08, 20600, 85.162, 395.886
B3V, 10.69, 4000, 37.527, 174.448
B3VI, 10.03, 3200, 33.565, 156.031
B3VII, 0.25, 0.0076, 0.052, 0.24
B2Ia, 22.01, 50000, 132.677, 616.767
B2Ib, 20.65, 40000, 118.67, 551.654
B2II, 20.35, 38000, 115.665, 537.685
B2III, 20.04, 36000, 112.58, 523.345
B2IV, 19.09, 30400, 103.454, 480.92
B2V, 12.55, 7000, 49.643, 230.773
B2VI, 11.77, 5600, 44.402, 206.41
B2VII, 0.25, 0.0083, 0.054, 0.251
B1Ia, 22.01, 50000, 132.677, 616.767
B1Ib, 21.35, 45000, 125.869, 585.117
B1II, 21.15, 43500, 123.753, 575.282
B1III, 21.08, 43000, 123.04, 571.967
B1IV, 20.68, 40200, 118.966, 553.031
B1V, 13.89, 10000, 59.335, 275.827
B1VI, 13.04, 8000, 53.071, 246.707
B1VII, 0.26, 0.0089, 0.056, 0.26
B0Ia, 22.01, 50000, 132.677, 616.767
B0Ib, 22.01, 50000, 132.677, 616.767
B0II, 22.01, 50000, 132.677, 616.767
B0III, 22.01, 50000, 132.677, 616.767
B0IV, 22.01, 50000, 132.677, 616.767
B0V, 22.01, 50000, 132.677, 616.767
B0VI, 20.65, 40000, 118.67, 551.654
B0VII, 0.27, 0.01, 0.059, 0.276
