###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
G6IV, 1.83, 8.35, 1.98, 3.102
G6V, 0.86, 0.58, 0.522, 0.817
G6VI, 0.8, 0.464, 0.467, 0.731
G6VII, 0.07, 0.00009, 0.006, 0.01
G5Ia, 23.82, 66000, 176.016, 275.764
G5Ib, 12.34, 6600, 55.661, 87.204
G5II, 6.58, 730, 18.512, 29.002
G5III, 3.19, 58, 5.218, 8.175
G5IV, 1.84, 8.5, 1.998, 3.13
G5V, 0.88, 0.64, 0.548, 0.859
G5VI, 0.83, 0.512, 0.49, 0.768
G5VII, 0.07, 0.00009, 0.006, 0.01
G4Ia, 23.72, 65000, 174.678, 273.667
G4Ib, 12.29, 6500, 55.238, 86.541
G4II, 6.62, 745, 18.701, 29.298
G4III, 3.14, 55, 5.081, 7.961
G4IV, 1.85, 8.65, 2.015, 3.157
G4V, 0.9, 0.7, 0.573, 0.898
G4VI, 0.85, 0.56, 0.513, 0.803
G4VII, 0.07, 0.00009, 0.006, 0.01
G3Ia, 23.62, 64000, 173.329, 271.554
G3Ib, 12.23, 6400, 54.811, 85.873
G3II, 6.65, 760, 18.888, 29.592
G3III, 3.09, 52, 4.941, 7.74
G3IV, 1.86, 8.8, 2.032, 3.184
G3V, 0.92, 0.76, 0.597, 0.936
G3VI, 0.87, 0.608, 0.534, 0.837
G3VII, 0.07, 0.00009, 0.006, 0.01
G2Ia, 23.51, 63000, 171.969, 269.424
G2Ib, 12.18, 6300, 54.381, 85.199
G2II, 6.69, 775, 19.074, 29.882
G2III, 3.06, 50, 4.845, 7.59
G2IV, 1.87, 8.95, 2.05, 3.211
G2V, 0.94, 0.82, 0.62, 0.972
G2VI, 0.89, 0.656, 0.555, 0.869
G2VII, 0.07, 0.0001, 0.007, 0.011
G1Ia, 23.4, 62000, 170.599, 267.277
G1Ib, 12.12, 6200, 53.948, 84.52
G1II, 6.73, 790, 19.257, 30.17
G1III, 3.06, 50, 4.845, 7.59
G1IV, 1.88, 9.1, 2.067, 3.238
G1V, 1, 1, 0.685, 1.073
G1VI, 0.94, 0.8, 0.613, 0.96
G1VII, 0.08, 0.00015, 0.008, 0.013
G0Ia, 23.29, 61000, 169.218, 265.113
G0Ib, 12.06, 6100, 53.511, 83.836
G0II, 6.76, 805, 19.439, 30.455
G0III, 3.09, 52, 4.941, 7.74
G0IV, 1.89, 9.25, 2.084, 3.265
G0V, 1, 1, 0.685, 1.073
G0VI, 0.94, 0.8, 0.613, 0.96
G0VII, 0.09, 0.0002, 0.01, 0.015
F9Ia, 23.18, 60000, 167.825, 262.931
F9Ib, 12.01, 6000, 53.071, 83.146
F9II, 6.8, 820, 19.619, 30.738
F9III, 3.14, 55, 5.081, 7.961
F9IV, 1.9, 9.4, 2.101, 3.291
F9V, 1.16, 1.7, 0.893, 1.4
F9VI, 1.09, 1.36, 0.799, 1.252
F9VII, 0.09, 0.00025, 0.011, 0.017
F8Ia, 23.07, 59000, 166.42, 260.73
F8Ib, 12.01, 6000, 53.071, 83.146
F8II, 6.84, 835, 19.798, 31.018
F8III, 3.19, 58, 5.218, 8.175
F8IV, 1.91, 9.55, 2.117, 3.317
F8V, 1.28, 2.4, 1.061, 1.663
F8VI, 1.2, 1.92, 0.949, 1.487
F8VII, 0.1, 0.0003, 0.012, 0.019
F7Ia, 22.96, 58000, 165.004, 258.511
F7Ib, 12.12, 6200, 53.948, 84.52
F7II, 6.87, 850, 19.975, 31.295
F7III, 3.24, 61, 5.351, 8.384
F7IV, 1.91, 9.7, 2.134, 3.343
F7V, 1.38, 3.1, 1.206, 1.89
F7VI, 1.3, 2.48, 1.079, 1.69
F7VII, 0.1, 0.00035, 0.013, 0.02
F6Ia, 22.85, 57000, 163.575, 256.273
F6Ib, 12.23, 6400, 54.811, 85.873
F6II, 6.9, 865, 20.151, 31.57
F6III, 3.28, 64, 5.481, 8.587
F6IV, 1.92, 9.85, 2.15, 3.369
F6V, 1.46, 3.8, 1.336, 2.092
F6VI, 1.37, 3.04, 1.195, 1.872
F6VII, 0.11, 0.0004, 0.014, 0.021
F5Ia, 22.73, 56000, 162.134, 254.015
F5Ib, 12.34, 6600, 55.661, 87.204
F5II, 6.94, 880, 20.325, 31.842
F5III, 3.32, 67, 5.608, 8.786
F5IV, 1.93, 10, 2.167, 3.394
F5V, 1.54, 4.5, 1.453, 2.277
F5VI, 1.44, 3.6, 1.3, 2.037
F5VII, 0.11, 0.00045, 0.015, 0.023
F4Ia, 22.61, 55000, 160.68, 251.737
F4Ib, 12.45, 6800, 56.498, 88.516
F4II, 6.97, 895, 20.497, 32.113
F4III, 3.37, 70, 5.732, 8.981
F4IV, 2.21, 16, 2.741, 4.294
F4V, 1.6, 5.2, 1.562, 2.448
F4VI, 1.5, 4.16, 1.397, 2.189
F4VII, 0.11, 0.0005, 0.015, 0.024
F3Ia, 22.5, 54000, 159.213, 249.438
F3Ib, 12.55, 7000, 57.323, 89.808
F3II, 7.01, 910, 20.668, 32.381
F3III, 3.41, 73, 5.854, 9.171
F3IV, 2.42, 22, 3.214, 5.035
F3V, 1.66, 5.9, 1.664, 2.607
F3VI, 1.56, 4.72, 1.489, 2.332
F3VII, 0.12, 0.00055, 0.016, 0.025
F2Ia, 22.38, 53000, 157.731, 247.117
F2Ib, 12.65, 7200, 58.136, 91.082
F2II, 7.04, 925, 20.838, 32.646
F2III, 3.45, 76, 5.973, 9.358
F2IV, 2.59, 28, 3.625, 5.68
F2V, 1.71, 6.6, 1.76, 2.758
F2VI, 1.61, 5.28, 1.574, 2.467
F2VII, 0.12, 0.0006, 0.017, 0.026
F1Ia, 22.26, 52000, 156.236, 244.775
F1Ib, 12.75, 7400, 58.938, 92.338
F1II, 7.07, 940, 21.006, 32.91
F1III, 3.48, 79, 6.09, 9.541
F1IV, 2.74, 34, 3.995, 6.259
F1V, 1.76, 7.3, 1.851, 2.9
F1VI, 1.66, 5.84, 1.656, 2.594
F1VII, 0.12, 0.00065, 0.017, 0.027
F0Ia, 22.13, 51000, 154.727, 242.41
F0Ib, 12.85, 7600, 59.729, 93.578
F0II, 7.1, 955, 21.173, 33.172
F0III, 3.52, 82, 6.204, 9.72
F0IV, 2.87, 40, 4.333, 6.789
F0V, 1.81, 8, 1.938, 3.036
F0VI, 1.7, 6.4, 1.733, 2.716
F0VII, 0.13, 0.0007, 0.018, 0.028
A9Ia, 22.01, 50000, 153.202, 240.022
A9Ib, 12.94, 7800, 60.51, 94.801
A9II, 7.13, 970, 21.339, 33.431
A9III, 3.56, 85, 6.317, 9.896
A9IV, 2.99, 46, 4.647, 7.28
A9V, 1.93, 10, 2.167, 3.394
A9VI, 1.81, 8, 1.938, 3.036
A9VII, 0.13, 0.00075, 0.019, 0.029
A8Ia, 22.01, 50000, 153.202, 240.022
A8Ib, 13.04, 8000, 61.281, 96.009
A8II, 7.17, 985, 21.503, 33.689
A8III, 3.59, 88, 6.427, 10.069
A8IV, 3.09, 52, 4.941, 7.74
A8V, 2.24, 16.9, 2.817, 4.413
A8VI, 2.1, 13.52, 2.519, 3.947
A8VII, 0.13, 0.0008, 0.019, 0.03
A7Ia, 22.01, 50000, 153.202, 240.022
A7Ib, 13.13, 8200, 62.042, 97.201
A7II, 7.2, 1000, 21.666, 33.944
A7III, 3.63, 91, 6.536, 10.24
A7IV, 3.19, 58, 5.218, 8.175
A7V, 2.47, 23.8, 3.342, 5.237
A7VI, 2.32, 19.04, 2.99, 4.684
A7VII, 0.13, 0.00085, 0.02, 0.031
A6Ia, 22.01, 50000, 153.202, 240.022
A6Ib, 13.22, 8400, 62.794, 98.38
A6II, 8, 1450, 26.089, 40.874
A6III, 3.66, 94, 6.643, 10.407
A6IV, 3.28, 64, 5.481, 8.587
A6V, 2.66, 30.7, 3.796, 5.948
A6VI, 2.5, 24.56, 3.395, 5.32
A6VII, 0.13, 0.0009, 0.021, 0.032
A5Ia, 22.01, 50000, 153.202, 240.022
A5Ib, 13.31, 8600, 63.537, 99.544
A5II, 8.65, 1900, 29.865, 46.789
A5III, 3.7, 97, 6.748, 10.572
A5IV, 3.37, 70, 5.732, 8.981
A5V, 2.82, 37.6, 4.201, 6.582
A5VI, 2.64, 30.08, 3.758, 5.887
A5VII, 0.14, 0.00095, 0.021, 0.033
A4Ia, 22.01, 50000, 153.202, 240.022
A4Ib, 13.4, 8800, 64.272, 100.695
A4II, 9.19, 2350, 33.213, 52.035
A4III, 3.73, 100, 6.851, 10.734
A4IV, 3.45, 76, 5.973, 9.358
A4V, 2.96, 44.5, 4.57, 7.161
A4VI, 2.78, 35.6, 4.088, 6.405
A4VII, 0.14, 0.001, 0.022, 0.034
A3Ia, 22.01, 50000, 153.202, 240.022
A3Ib, 13.48, 9000, 64.998, 101.833
A3II, 9.66, 2800, 36.254, 56.8
A3III, 4.84, 250, 10.833, 16.972
A3IV, 3.52, 82, 6.204, 9.72
A3V, 3.08, 51.4, 4.912, 7.696
A3VI, 2.89, 41.12, 4.393, 6.883
A3VII, 0.16, 0.0016, 0.027, 0.043
A2Ia, 22.01, 50000, 153.202, 240.022
A2Ib, 13.57, 9200, 65.716, 102.958
A2II, 10.08, 3250, 39.059, 61.194
A2III, 5.54, 400, 13.703, 21.468
A2IV, 3.59, 88, 6.427, 10.069
A2V, 3.2, 58.3, 5.231, 8.196
A2VI, 3, 46.64, 4.679, 7.331
A2VII, 0.17, 0.0022, 0.032, 0.05
A1Ia, 22.01, 50000, 153.202, 240.022
A1Ib, 13.65, 9400, 66.427, 104.071
A1II, 10.46, 3700, 41.676, 65.293
A1III, 6.07, 550, 16.068, 25.174
A1IV, 3.66, 94, 6.643, 10.407
A1V, 3.3, 65.2, 5.532, 8.667
A1VI, 3.1, 52.16, 4.948, 7.752
A1VII, 0.19, 0.0028, 0.036, 0.057
A0Ia, 22.01, 50000, 153.202, 240.022
A0Ib, 13.73, 9600, 67.13, 105.172
A0II, 10.81, 4150, 44.137, 69.15
A0III, 6.5, 700, 18.127, 28.4
A0IV, 3.73, 100, 6.851, 10.734
A0V, 3.39, 72.1, 5.818, 9.115
A0VI, 3.19, 57.68, 5.203, 8.152
A0VII, 0.2, 0.0034, 0.04, 0.063
B9Ia, 22.01, 50000, 153.202, 240.022
B9Ib, 13.81, 9800, 67.826, 106.262
B9II, 11.13, 4600, 46.469, 72.802
B9III, 6.87, 850, 19.975, 31.295
B9IV, 5, 280, 11.465, 17.962
B9V, 3.48, 79, 6.09, 9.541
B9VI, 3.27, 63.2, 5.447, 8.533
B9VII, 0.21, 0.004, 0.043, 0.068
B8Ia, 22.01, 50000, 153.202, 240.022
B8Ib, 13.89, 10000, 68.514, 107.341
B8II, 11.4, 5000, 48.447, 75.902
B8III, 7.2, 1000, 21.666, 33.944
B8IV, 5.76, 460, 14.695, 23.022
B8V, 3.57, 85.9, 6.35, 9.949
B8VI, 3.35, 68.72, 5.68, 8.898
B8VII, 0.21, 0.0046, 0.046, 0.073
B7Ia, 22.01, 50000, 153.202, 240.022
B7Ib, 15.6, 15000, 83.912, 131.465
B7II, 14.09, 10500, 70.206, 109.992
B7III, 7.49, 1150, 23.234, 36.401
B7IV, 6.34, 640, 17.333, 27.155
B7V, 3.65, 92.8, 6.6, 10.34
B7VI, 3.42, 74.24, 5.903, 9.249
B7VII, 0.22, 0.0052, 0.049, 0.077
B6Ia, 22.01, 50000, 153.202, 240.022
B6Ib, 16.94, 20000, 96.894, 151.803
B6II, 15.89, 16000, 86.664, 135.777
B6III, 13.04, 8000, 61.281, 96.009
B6IV, 6.8, 820, 19.619, 30.738
B6V, 3.73, 100, 6.851, 10.734
B6VI, 3.5, 80, 6.128, 9.601
B6VII, 0.23, 0.0058, 0.052, 0.082
B5Ia, 22.01, 50000, 153.202, 240.022
B5Ib, 18.05, 25000, 108.33, 169.721
B5II, 17.29, 21500, 100.461, 157.393
B5III, 15.6, 15000, 83.912, 131.465
B5IV, 7.2, 1000, 21.666, 33.944
B5V, 5.9, 500, 15.32, 24.002
B5VI, 5.54, 400, 13.703, 21.468
B5VII, 0.24, 0.0064, 0.055, 0.086
B4Ia, 22.01, 50000, 153.202, 240.022
B4Ib, 19.02, 30000, 118.67, 185.92
B4II, 18.45, 27000, 112.58, 176.379
B4III, 17.41, 22000, 101.623, 159.212
B4IV, 14.2, 10800, 71.202, 111.552
B4V, 7.2, 1000, 21.666, 33.944
B4VI, 6.75, 800, 19.379, 30.361
B4VII, 0.24, 0.007, 0.057, 0.09
B3Ia, 22.01, 50000, 153.202, 240.022
B3Ib, 19.87, 35000, 128.178, 200.817
B3II, 19.46, 32500, 123.516, 193.512
B3III, 18.84, 29000, 116.675, 182.795
B3IV, 17.08, 20600, 98.336, 154.063
B3V, 10.69, 4000, 43.332, 67.888
B3VI, 10.03, 3200, 38.757, 60.721
B3VII, 0.25, 0.0076, 0.06, 0.094
B2Ia, 22.01, 50000, 153.202, 240.022
B2Ib, 20.65, 40000, 137.028, 214.682
B2II, 20.35, 38000, 133.559, 209.246
B2III, 20.04, 36000, 129.996, 203.665
B2IV, 19.09, 30400, 119.459, 187.155
B2V, 12.55, 7000, 57.323, 89.808
B2VI, 11.77, 5600, 51.271, 80.327
B2VII, 0.25, 0.0083, 0.062, 0.098
B1Ia, 22.01, 50000, 153.202, 240.022
B1Ib, 21.35, 45000, 145.34, 227.705
B1II, 21.15, 43500, 142.898, 223.877
B1III, 21.08, 43000, 142.074, 222.587
B1IV, 20.68, 40200, 137.37, 215.218
B1V, 13.89, 10000, 68.514, 107.341
B1VI, 13.04, 8000, 61.281, 96.009
B1VII, 0.26, 0.0089, 0.065, 0.101
B0Ia, 22.01, 50000, 153.202, 240.022
B0Ib, 22.01, 50000, 153.202, 240.022
B0II, 22.01, 50000, 153.202, 240.022
B0III, 22.01, 50000, 153.202, 240.022
B0IV, 22.01, 50000, 153.202, 240.022
B0V, 22.01, 50000, 153.202, 240.022
B0VI, 20.65, 40000, 137.028, 214.682
B0VII, 0.27, 0.01, 0.069, 0.107
