###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
K4II, 6.85, 840, 16.071, 27.562
K4III, 3.56, 85, 5.112, 8.768
K4V, 0.52, 0.1, 0.175, 0.301
K4VI, 0.49, 0.08, 0.157, 0.269
K4VII, 0.06, 0.00006, 0.004, 0.007
K3Ia, 24.62, 74000, 150.839, 258.696
K3Ib, 12.75, 7400, 47.7, 81.807
K3II, 6.8, 820, 15.878, 27.232
K3III, 3.52, 82, 5.021, 8.612
K3IV, 1.76, 7.3, 1.498, 2.569
K3V, 0.59, 0.16, 0.222, 0.38
K3VI, 0.56, 0.128, 0.198, 0.34
K3VII, 0.06, 0.00007, 0.005, 0.008
K2Ia, 24.52, 73000, 149.817, 256.942
K2Ib, 12.7, 7300, 47.376, 81.252
K2II, 6.75, 800, 15.684, 26.898
K2III, 3.48, 79, 4.928, 8.453
K2IV, 1.77, 7.45, 1.513, 2.596
K2V, 0.65, 0.22, 0.26, 0.446
K2VI, 0.61, 0.176, 0.233, 0.399
K2VII, 0.06, 0.00007, 0.005, 0.008
K1Ia, 24.42, 72000, 148.787, 255.176
K1Ib, 12.65, 7200, 47.051, 80.694
K1II, 6.7, 780, 15.486, 26.56
K1III, 3.45, 76, 4.834, 8.291
K1IV, 1.79, 7.6, 1.529, 2.622
K1V, 0.7, 0.28, 0.293, 0.503
K1VI, 0.65, 0.224, 0.262, 0.45
K1VII, 0.06, 0.00007, 0.005, 0.008
K0Ia, 24.33, 71000, 147.75, 253.398
K0Ib, 12.6, 7100, 46.723, 80.131
K0II, 6.65, 760, 15.286, 26.217
K0III, 3.41, 73, 4.738, 8.125
K0IV, 1.8, 7.75, 1.544, 2.647
K0V, 0.73, 0.34, 0.323, 0.555
K0VI, 0.69, 0.272, 0.289, 0.496
K0VII, 0.07, 0.00008, 0.005, 0.009
G9Ia, 24.23, 70000, 146.706, 251.607
G9Ib, 12.55, 7000, 46.392, 79.565
G9II, 6.6, 740, 15.084, 25.87
G9III, 3.37, 70, 4.639, 7.957
G9IV, 1.8, 7.9, 1.559, 2.673
G9V, 0.77, 0.4, 0.351, 0.601
G9VI, 0.72, 0.32, 0.314, 0.538
G9VII, 0.07, 0.00008, 0.005, 0.009
G8Ia, 24.13, 69000, 145.654, 249.804
G8Ib, 12.5, 6900, 46.06, 78.995
G8II, 6.55, 720, 14.879, 25.518
G8III, 3.32, 67, 4.539, 7.784
G8IV, 1.81, 8.05, 1.573, 2.698
G8V, 0.8, 0.46, 0.376, 0.645
G8VI, 0.75, 0.368, 0.336, 0.577
G8VII, 0.07, 0.00008, 0.005, 0.009
G7Ia, 24.03, 68000, 144.595, 247.987
G7Ib, 12.45, 6800, 45.725, 78.42
G7II, 6.5, 700, 14.671, 25.161
G7III, 3.28, 64, 4.436, 7.608
G7IV, 1.82, 8.2, 1.588, 2.723
G7V, 0.83, 0.52, 0.4, 0.686
G7VI, 0.78, 0.416, 0.358, 0.613
G7VII, 0.07, 0.00008, 0.005, 0.009
G6Ia, 23.93, 67000, 143.528, 246.157
G6Ib, 12.39, 6700, 45.387, 77.842
G6II, 6.54, 715, 14.827, 25.429
G6III, 3.24, 61, 4.331, 7.427
G6IV, 1.83, 8.35, 1.602, 2.748
G6V, 0.86, 0.58, 0.422, 0.724
G6VI, 0.8, 0.464, 0.378, 0.648
G6VII, 0.07, 0.00009, 0.005, 0.009
G5Ia, 23.82, 66000, 142.453, 244.313
G5Ib, 12.34, 6600, 45.047, 77.258
G5II, 6.58, 730, 14.982, 25.694
G5III, 3.19, 58, 4.223, 7.242
G5IV, 1.84, 8.5, 1.617, 2.773
G5V, 0.88, 0.64, 0.444, 0.761
G5VI, 0.83, 0.512, 0.397, 0.68
G5VII, 0.07, 0.00009, 0.005, 0.009
G4Ia, 23.72, 65000, 141.369, 242.455
G4Ib, 12.29, 6500, 44.705, 76.671
G4II, 6.62, 745, 15.135, 25.957
G4III, 3.14, 55, 4.112, 7.053
G4IV, 1.85, 8.65, 1.631, 2.797
G4V, 0.9, 0.7, 0.464, 0.796
G4VI, 0.85, 0.56, 0.415, 0.712
G4VII, 0.07, 0.00009, 0.005, 0.009
G3Ia, 23.62, 64000, 140.278, 240.582
G3Ib, 12.23, 6400, 44.36, 76.079
G3II, 6.65, 760, 15.286, 26.217
G3III, 3.09, 52, 3.999, 6.858
G3IV, 1.86, 8.8, 1.645, 2.821
G3V, 0.92, 0.76, 0.483, 0.829
G3VI, 0.87, 0.608, 0.432, 0.742
G3VII, 0.07, 0.00009, 0.005, 0.009
G2Ia, 23.51, 63000, 139.177, 238.696
G2Ib, 12.18, 6300, 44.012, 75.482
G2II, 6.69, 775, 15.437, 26.474
G2III, 3.06, 50, 3.921, 6.724
G2IV, 1.87, 8.95, 1.659, 2.845
G2V, 0.94, 0.82, 0.502, 0.861
G2VI, 0.89, 0.656, 0.449, 0.77
G2VII, 0.07, 0.0001, 0.006, 0.01
G1Ia, 23.4, 62000, 138.068, 236.794
G1Ib, 12.12, 6200, 43.661, 74.881
G1II, 6.73, 790, 15.585, 26.729
G1III, 3.06, 50, 3.921, 6.724
G1IV, 1.88, 9.1, 1.673, 2.869
G1V, 1, 1, 0.554, 0.951
G1VI, 0.94, 0.8, 0.496, 0.851
G1VII, 0.08, 0.00015, 0.007, 0.012
G0Ia, 23.29, 61000, 136.95, 234.876
G0Ib, 12.06, 6100, 43.308, 74.274
G0II, 6.76, 805, 15.732, 26.982
G0III, 3.09, 52, 3.999, 6.858
G0IV, 1.89, 9.25, 1.686, 2.892
G0V, 1, 1, 0.554, 0.951
G0VI, 0.94, 0.8, 0.496, 0.851
G0VII, 0.09, 0.0002, 0.008, 0.013
F9Ia, 23.18, 60000, 135.823, 232.943
F9Ib, 12.01, 6000, 42.951, 73.663
F9II, 6.8, 820, 15.878, 27.232
F9III, 3.14, 55, 4.112, 7.053
F9IV, 1.9, 9.4, 1.7, 2.916
F9V, 1.16, 1.7, 0.723, 1.24
F9VI, 1.09, 1.36, 0.647, 1.109
F9VII, 0.09, 0.00025, 0.009, 0.015
F8Ia, 23.07, 59000, 134.687, 230.994
F8Ib, 12.01, 6000, 42.951, 73.663
F8II, 6.84, 835, 16.023, 27.48
F8III, 3.19, 58, 4.223, 7.242
F8IV, 1.91, 9.55, 1.714, 2.939
F8V, 1.28, 2.4, 0.859, 1.473
F8VI, 1.2, 1.92, 0.768, 1.318
F8VII, 0.1, 0.0003, 0.01, 0.016
F7Ia, 22.96, 58000, 133.54, 229.028
F7Ib, 12.12, 6200, 43.661, 74.881
F7II, 6.87, 850, 16.166, 27.726
F7III, 3.24, 61, 4.331, 7.427
F7IV, 1.91, 9.7, 1.727, 2.962
F7V, 1.38, 3.1, 0.976, 1.674
F7VI, 1.3, 2.48, 0.873, 1.498
F7VII, 0.1, 0.00035, 0.01, 0.018
F6Ia, 22.85, 57000, 132.384, 227.045
F6Ib, 12.23, 6400, 44.36, 76.079
F6II, 6.9, 865, 16.308, 27.969
F6III, 3.28, 64, 4.436, 7.608
F6IV, 1.92, 9.85, 1.74, 2.985
F6V, 1.46, 3.8, 1.081, 1.854
F6VI, 1.37, 3.04, 0.967, 1.658
F6VII, 0.11, 0.0004, 0.011, 0.019
F5Ia, 22.73, 56000, 131.218, 225.044
F5Ib, 12.34, 6600, 45.047, 77.258
F5II, 6.94, 880, 16.449, 28.211
F5III, 3.32, 67, 4.539, 7.784
F5IV, 1.93, 10, 1.753, 3.007
F5V, 1.54, 4.5, 1.176, 2.017
F5VI, 1.44, 3.6, 1.052, 1.804
F5VII, 0.11, 0.00045, 0.012, 0.02
F4Ia, 22.61, 55000, 130.041, 223.026
F4Ib, 12.45, 6800, 45.725, 78.42
F4II, 6.97, 895, 16.589, 28.45
F4III, 3.37, 70, 4.639, 7.957
F4IV, 2.21, 16, 2.218, 3.804
F4V, 1.6, 5.2, 1.264, 2.169
F4VI, 1.5, 4.16, 1.131, 1.94
F4VII, 0.11, 0.0005, 0.012, 0.021
F3Ia, 22.5, 54000, 128.853, 220.989
F3Ib, 12.55, 7000, 46.392, 79.565
F3II, 7.01, 910, 16.727, 28.688
F3III, 3.41, 73, 4.738, 8.125
F3IV, 2.42, 22, 2.601, 4.461
F3V, 1.66, 5.9, 1.347, 2.31
F3VI, 1.56, 4.72, 1.205, 2.066
F3VII, 0.12, 0.00055, 0.013, 0.022
F2Ia, 22.38, 53000, 127.655, 218.933
F2Ib, 12.65, 7200, 47.051, 80.694
F2II, 7.04, 925, 16.864, 28.923
F2III, 3.45, 76, 4.834, 8.291
F2IV, 2.59, 28, 2.934, 5.032
F2V, 1.71, 6.6, 1.425, 2.443
F2VI, 1.61, 5.28, 1.274, 2.185
F2VII, 0.12, 0.0006, 0.014, 0.023
F1Ia, 22.26, 52000, 126.445, 216.858
F1Ib, 12.75, 7400, 47.7, 81.807
F1II, 7.07, 940, 17.001, 29.157
F1III, 3.48, 79, 4.928, 8.453
F1IV, 2.74, 34, 3.233, 5.545
F1V, 1.76, 7.3, 1.498, 2.569
F1VI, 1.66, 5.84, 1.34, 2.298
F1VII, 0.12, 0.00065, 0.014, 0.024
F0Ia, 22.13, 51000, 125.223, 214.763
F0Ib, 12.85, 7600, 48.34, 82.905
F0II, 7.1, 955, 17.136, 29.388
F0III, 3.52, 82, 5.021, 8.612
F0IV, 2.87, 40, 3.507, 6.015
F0V, 1.81, 8, 1.568, 2.69
F0VI, 1.7, 6.4, 1.403, 2.406
F0VII, 0.13, 0.0007, 0.015, 0.025
A9Ia, 22.01, 50000, 123.989, 212.647
A9Ib, 12.94, 7800, 48.972, 83.989
A9II, 7.13, 970, 17.27, 29.618
A9III, 3.56, 85, 5.112, 8.768
A9IV, 2.99, 46, 3.761, 6.45
A9V, 1.93, 10, 1.753, 3.007
A9VI, 1.81, 8, 1.568, 2.69
A9VII, 0.13, 0.00075, 0.015, 0.026
A8Ia, 22.01, 50000, 123.989, 212.647
A8Ib, 13.04, 8000, 49.596, 85.059
A8II, 7.17, 985, 17.403, 29.846
A8III, 3.59, 88, 5.202, 8.921
A8IV, 3.09, 52, 3.999, 6.858
A8V, 2.24, 16.9, 2.28, 3.909
A8VI, 2.1, 13.52, 2.039, 3.497
A8VII, 0.13, 0.0008, 0.016, 0.027
A7Ia, 22.01, 50000, 123.989, 212.647
A7Ib, 13.13, 8200, 50.212, 86.115
A7II, 7.2, 1000, 17.535, 30.073
A7III, 3.63, 91, 5.29, 9.072
A7IV, 3.19, 58, 4.223, 7.242
A7V, 2.47, 23.8, 2.705, 4.639
A7VI, 2.32, 19.04, 2.42, 4.15
A7VII, 0.13, 0.00085, 0.016, 0.028
A6Ia, 22.01, 50000, 123.989, 212.647
A6Ib, 13.22, 8400, 50.82, 87.159
A6II, 8, 1450, 21.115, 36.212
A6III, 3.66, 94, 5.376, 9.22
A6IV, 3.28, 64, 4.436, 7.608
A6V, 2.66, 30.7, 3.072, 5.269
A6VI, 2.5, 24.56, 2.748, 4.713
A6VII, 0.13, 0.0009, 0.017, 0.029
A5Ia, 22.01, 50000, 123.989, 212.647
A5Ib, 13.31, 8600, 51.422, 88.191
A5II, 8.65, 1900, 24.17, 41.453
A5III, 3.7, 97, 5.461, 9.366
A5IV, 3.37, 70, 4.639, 7.957
A5V, 2.82, 37.6, 3.4, 5.831
A5VI, 2.64, 30.08, 3.041, 5.216
A5VII, 0.14, 0.00095, 0.017, 0.029
A4Ia, 22.01, 50000, 123.989, 212.647
A4Ib, 13.4, 8800, 52.016, 89.21
A4II, 9.19, 2350, 26.88, 46.101
A4III, 3.73, 100, 5.545, 9.51
A4IV, 3.45, 76, 4.834, 8.291
A4V, 2.96, 44.5, 3.699, 6.344
A4VI, 2.78, 35.6, 3.308, 5.674
A4VII, 0.14, 0.001, 0.018, 0.03
A3Ia, 22.01, 50000, 123.989, 212.647
A3Ib, 13.48, 9000, 52.604, 90.218
A3II, 9.66, 2800, 29.341, 50.321
A3III, 4.84, 250, 8.767, 15.036
A3IV, 3.52, 82, 5.021, 8.612
A3V, 3.08, 51.4, 3.975, 6.818
A3VI, 2.89, 41.12, 3.556, 6.098
A3VII, 0.16, 0.0016, 0.022, 0.038
A2Ia, 22.01, 50000, 123.989, 212.647
A2Ib, 13.57, 9200, 53.185, 91.215
A2II, 10.08, 3250, 31.611, 54.215
A2III, 5.54, 400, 11.09, 19.02
A2IV, 3.59, 88, 5.202, 8.921
A2V, 3.2, 58.3, 4.234, 7.261
A2VI, 3, 46.64, 3.787, 6.495
A2VII, 0.17, 0.0022, 0.026, 0.045
A1Ia, 22.01, 50000, 123.989, 212.647
A1Ib, 13.65, 9400, 53.76, 92.201
A1II, 10.46, 3700, 33.729, 57.846
A1III, 6.07, 550, 13.004, 22.303
A1IV, 3.66, 94, 5.376, 9.22
A1V, 3.3, 65.2, 4.477, 7.679
A1VI, 3.1, 52.16, 4.005, 6.868
A1VII, 0.19, 0.0028, 0.029, 0.05
A0Ia, 22.01, 50000, 123.989, 212.647
A0Ib, 13.73, 9600, 54.329, 93.177
A0II, 10.81, 4150, 35.721, 61.263
A0III, 6.5, 700, 14.671, 25.161
A0IV, 3.73, 100, 5.545, 9.51
A0V, 3.39, 72.1, 4.708, 8.075
A0VI, 3.19, 57.68, 4.211, 7.222
A0VII, 0.2, 0.0034, 0.032, 0.055
B9Ia, 22.01, 50000, 123.989, 212.647
B9Ib, 13.81, 9800, 54.892, 94.143
B9II, 11.13, 4600, 37.608, 64.499
B9III, 6.87, 850, 16.166, 27.726
B9IV, 5, 280, 9.278, 15.913
B9V, 3.48, 79, 4.928, 8.453
B9VI, 3.27, 63.2, 4.408, 7.56
B9VII, 0.21, 0.004, 0.035, 0.06
B8Ia, 22.01, 50000, 123.989, 212.647
B8Ib, 13.89, 10000, 55.45, 95.099
B8II, 11.4, 5000, 39.209, 67.245
B8III, 7.2, 1000, 17.535, 30.073
B8IV, 5.76, 460, 11.893, 20.396
B8V, 3.57, 85.9, 5.139, 8.814
B8VI, 3.35, 68.72, 4.597, 7.883
B8VII, 0.21, 0.0046, 0.038, 0.064
B7Ia, 22.01, 50000, 123.989, 212.647
B7Ib, 15.6, 15000, 67.912, 116.472
B7II, 14.09, 10500, 56.819, 97.447
B7III, 7.49, 1150, 18.804, 32.249
B7IV, 6.34, 640, 14.028, 24.058
B7V, 3.65, 92.8, 5.342, 9.161
B7VI, 3.42, 74.24, 4.778, 8.194
B7VII, 0.22, 0.0052, 0.04, 0.069
B6Ia, 22.01, 50000, 123.989, 212.647
B6Ib, 16.94, 20000, 78.418, 134.49
B6II, 15.89, 16000, 70.139, 120.291
B6III, 13.04, 8000, 49.596, 85.059
B6IV, 6.8, 820, 15.878, 27.232
B6V, 3.73, 100, 5.545, 9.51
B6VI, 3.5, 80, 4.96, 8.506
B6VII, 0.23, 0.0058, 0.042, 0.072
B5Ia, 22.01, 50000, 123.989, 212.647
B5Ib, 18.05, 25000, 87.674, 150.364
B5II, 17.29, 21500, 81.305, 139.442
B5III, 15.6, 15000, 67.912, 116.472
B5IV, 7.2, 1000, 17.535, 30.073
B5V, 5.9, 500, 12.399, 21.265
B5VI, 5.54, 400, 11.09, 19.02
B5VII, 0.24, 0.0064, 0.044, 0.076
B4Ia, 22.01, 50000, 123.989, 212.647
B4Ib, 19.02, 30000, 96.042, 164.716
B4II, 18.45, 27000, 91.113, 156.263
B4III, 17.41, 22000, 82.245, 141.054
B4IV, 14.2, 10800, 57.625, 98.829
B4V, 7.2, 1000, 17.535, 30.073
B4VI, 6.75, 800, 15.684, 26.898
B4VII, 0.24, 0.007, 0.046, 0.08
B3Ia, 22.01, 50000, 123.989, 212.647
B3Ib, 19.87, 35000, 103.737, 177.913
B3II, 19.46, 32500, 99.963, 171.441
B3III, 18.84, 29000, 94.427, 161.947
B3IV, 17.08, 20600, 79.585, 136.492
B3V, 10.69, 4000, 35.069, 60.146
B3VI, 10.03, 3200, 31.367, 53.796
B3VII, 0.25, 0.0076, 0.048, 0.083
B2Ia, 22.01, 50000, 123.989, 212.647
B2Ib, 20.65, 40000, 110.899, 190.197
B2II, 20.35, 38000, 108.091, 185.381
B2III, 20.04, 36000, 105.208, 180.437
B2IV, 19.09, 30400, 96.68, 165.81
B2V, 12.55, 7000, 46.392, 79.565
B2VI, 11.77, 5600, 41.495, 71.165
B2VII, 0.25, 0.0083, 0.051, 0.087
B1Ia, 22.01, 50000, 123.989, 212.647
B1Ib, 21.35, 45000, 117.626, 201.735
B1II, 21.15, 43500, 115.649, 198.344
B1III, 21.08, 43000, 114.983, 197.201
B1IV, 20.68, 40200, 111.176, 190.672
B1V, 13.89, 10000, 55.45, 95.099
B1VI, 13.04, 8000, 49.596, 85.059
B1VII, 0.26, 0.0089, 0.052, 0.09
B0Ia, 22.01, 50000, 123.989, 212.647
B0Ib, 22.01, 50000, 123.989, 212.647
B0II, 22.01, 50000, 123.989, 212.647
B0III, 22.01, 50000, 123.989, 212.647
B0IV, 22.01, 50000, 123.989, 212.647
B0V, 22.01, 50000, 123.989, 212.647
B0VI, 20.65, 40000, 110.899, 190.197
B0VII, 0.27, 0.01, 0.055, 0.095
