###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
G9VI, 0.72, 0.32, 0.472, 0.99
G9VII, 0.07, 0.00008, 0.007, 0.016
G8Ia, 24.13, 69000, 219.092, 459.645
G8Ib, 12.5, 6900, 69.283, 145.352
G8II, 6.55, 720, 22.38, 46.953
G8III, 3.32, 67, 6.827, 14.323
G8IV, 1.81, 8.05, 2.366, 4.965
G8V, 0.8, 0.46, 0.566, 1.187
G8VI, 0.75, 0.368, 0.506, 1.062
G8VII, 0.07, 0.00008, 0.007, 0.016
G7Ia, 24.03, 68000, 217.499, 456.302
G7Ib, 12.45, 6800, 68.779, 144.295
G7II, 6.5, 700, 22.067, 46.296
G7III, 3.28, 64, 6.673, 13.999
G7IV, 1.82, 8.2, 2.388, 5.011
G7V, 0.83, 0.52, 0.601, 1.262
G7VI, 0.78, 0.416, 0.538, 1.129
G7VII, 0.07, 0.00008, 0.007, 0.016
G6Ia, 23.93, 67000, 215.894, 452.934
G6Ib, 12.39, 6700, 68.272, 143.23
G6II, 6.54, 715, 22.303, 46.79
G6III, 3.24, 61, 6.514, 13.667
G6IV, 1.83, 8.35, 2.41, 5.056
G6V, 0.86, 0.58, 0.635, 1.333
G6VI, 0.8, 0.464, 0.568, 1.192
G6VII, 0.07, 0.00009, 0.008, 0.017
G5Ia, 23.82, 66000, 214.276, 449.541
G5Ib, 12.34, 6600, 67.76, 142.157
G5II, 6.58, 730, 22.535, 47.278
G5III, 3.19, 58, 6.352, 13.326
G5IV, 1.84, 8.5, 2.432, 5.102
G5V, 0.88, 0.64, 0.667, 1.4
G5VI, 0.83, 0.512, 0.597, 1.252
G5VII, 0.07, 0.00009, 0.008, 0.017
G4Ia, 23.72, 65000, 212.647, 446.123
G4Ib, 12.29, 6500, 67.245, 141.076
G4II, 6.62, 745, 22.766, 47.761
G4III, 3.14, 55, 6.186, 12.977
G4IV, 1.85, 8.65, 2.453, 5.146
G4V, 0.9, 0.7, 0.698, 1.464
G4VI, 0.85, 0.56, 0.624, 1.309
G4VII, 0.07, 0.00009, 0.008, 0.017
G3Ia, 23.62, 64000, 211.005, 442.678
G3Ib, 12.23, 6400, 66.726, 139.987
G3II, 6.65, 760, 22.994, 48.24
G3III, 3.09, 52, 6.015, 12.618
G3IV, 1.86, 8.8, 2.474, 5.191
G3V, 0.92, 0.76, 0.727, 1.525
G3VI, 0.87, 0.608, 0.65, 1.364
G3VII, 0.07, 0.00009, 0.008, 0.017
G2Ia, 23.51, 63000, 209.35, 439.206
G2Ib, 12.18, 6300, 66.202, 138.889
G2II, 6.69, 775, 23.22, 48.713
G2III, 3.06, 50, 5.898, 12.373
G2IV, 1.87, 8.95, 2.495, 5.235
G2V, 0.94, 0.82, 0.755, 1.585
G2VI, 0.89, 0.656, 0.676, 1.417
G2VII, 0.07, 0.0001, 0.008, 0.017
G1Ia, 23.4, 62000, 207.682, 435.706
G1Ib, 12.12, 6200, 65.675, 137.782
G1II, 6.73, 790, 23.443, 49.183
G1III, 3.06, 50, 5.898, 12.373
G1IV, 1.88, 9.1, 2.516, 5.279
G1V, 1, 1, 0.834, 1.75
G1VI, 0.94, 0.8, 0.746, 1.565
G1VII, 0.08, 0.00015, 0.01, 0.021
G0Ia, 23.29, 61000, 206, 432.178
G0Ib, 12.06, 6100, 65.143, 136.667
G0II, 6.76, 805, 23.665, 49.647
G0III, 3.09, 52, 6.015, 12.618
G0IV, 1.89, 9.25, 2.537, 5.322
G0V, 1, 1, 0.834, 1.75
G0VI, 0.94, 0.8, 0.746, 1.565
G0VII, 0.09, 0.0002, 0.012, 0.025
F9Ia, 23.18, 60000, 204.305, 428.621
F9Ib, 12.01, 6000, 64.607, 135.542
F9II, 6.8, 820, 23.884, 50.108
F9III, 3.14, 55, 6.186, 12.977
F9IV, 1.9, 9.4, 2.557, 5.365
F9V, 1.16, 1.7, 1.087, 2.282
F9VI, 1.09, 1.36, 0.973, 2.041
F9VII, 0.09, 0.00025, 0.013, 0.028
F8Ia, 23.07, 59000, 202.595, 425.034
F8Ib, 12.01, 6000, 64.607, 135.542
F8II, 6.84, 835, 24.102, 50.564
F8III, 3.19, 58, 6.352, 13.326
F8IV, 1.91, 9.55, 2.578, 5.408
F8V, 1.28, 2.4, 1.292, 2.711
F8VI, 1.2, 1.92, 1.156, 2.425
F8VII, 0.1, 0.0003, 0.014, 0.03
F7Ia, 22.96, 58000, 200.871, 421.417
F7Ib, 12.12, 6200, 65.675, 137.782
F7II, 6.87, 850, 24.317, 51.016
F7III, 3.24, 61, 6.514, 13.667
F7IV, 1.91, 9.7, 2.598, 5.45
F7V, 1.38, 3.1, 1.469, 3.081
F7VI, 1.3, 2.48, 1.313, 2.756
F7VII, 0.1, 0.00035, 0.016, 0.033
F6Ia, 22.85, 57000, 199.131, 417.768
F6Ib, 12.23, 6400, 66.726, 139.987
F6II, 6.9, 865, 24.531, 51.464
F6III, 3.28, 64, 6.673, 13.999
F6IV, 1.92, 9.85, 2.618, 5.492
F6V, 1.46, 3.8, 1.626, 3.411
F6VI, 1.37, 3.04, 1.454, 3.051
F6VII, 0.11, 0.0004, 0.017, 0.035
F5Ia, 22.73, 56000, 197.377, 414.087
F5Ib, 12.34, 6600, 67.76, 142.157
F5II, 6.94, 880, 24.743, 51.909
F5III, 3.32, 67, 6.827, 14.323
F5IV, 1.93, 10, 2.638, 5.533
F5V, 1.54, 4.5, 1.769, 3.712
F5VI, 1.44, 3.6, 1.583, 3.32
F5VII, 0.11, 0.00045, 0.018, 0.037
F4Ia, 22.61, 55000, 195.607, 410.373
F4Ib, 12.45, 6800, 68.779, 144.295
F4II, 6.97, 895, 24.952, 52.349
F4III, 3.37, 70, 6.978, 14.64
F4IV, 2.21, 16, 3.336, 6.999
F4V, 1.6, 5.2, 1.902, 3.99
F4VI, 1.5, 4.16, 1.701, 3.569
F4VII, 0.11, 0.0005, 0.019, 0.039
F3Ia, 22.5, 54000, 193.82, 406.625
F3Ib, 12.55, 7000, 69.783, 146.402
F3II, 7.01, 910, 25.161, 52.786
F3III, 3.41, 73, 7.126, 14.951
F3IV, 2.42, 22, 3.912, 8.207
F3V, 1.66, 5.9, 2.026, 4.25
F3VI, 1.56, 4.72, 1.812, 3.802
F3VII, 0.12, 0.00055, 0.02, 0.041
F2Ia, 22.38, 53000, 192.017, 402.843
F2Ib, 12.65, 7200, 70.773, 148.479
F2II, 7.04, 925, 25.367, 53.219
F2III, 3.45, 76, 7.271, 15.255
F2IV, 2.59, 28, 4.413, 9.259
F2V, 1.71, 6.6, 2.143, 4.495
F2VI, 1.61, 5.28, 1.917, 4.021
F2VII, 0.12, 0.0006, 0.02, 0.043
F1Ia, 22.26, 52000, 190.197, 399.024
F1Ib, 12.75, 7400, 71.749, 150.527
F1II, 7.07, 940, 25.572, 53.649
F1III, 3.48, 79, 7.413, 15.553
F1IV, 2.74, 34, 4.863, 10.203
F1V, 1.76, 7.3, 2.254, 4.728
F1VI, 1.66, 5.84, 2.016, 4.229
F1VII, 0.12, 0.00065, 0.021, 0.045
F0Ia, 22.13, 51000, 188.359, 395.169
F0Ib, 12.85, 7600, 72.713, 152.547
F0II, 7.1, 955, 25.775, 54.075
F0III, 3.52, 82, 7.553, 15.845
F0IV, 2.87, 40, 5.275, 11.067
F0V, 1.81, 8, 2.359, 4.949
F0VI, 1.7, 6.4, 2.11, 4.427
F0VII, 0.13, 0.0007, 0.022, 0.046
A9Ia, 22.01, 50000, 186.504, 391.276
A9Ib, 12.94, 7800, 73.663, 154.541
A9II, 7.13, 970, 25.977, 54.498
A9III, 3.56, 85, 7.69, 16.133
A9IV, 2.99, 46, 5.657, 11.868
A9V, 1.93, 10, 2.638, 5.533
A9VI, 1.81, 8, 2.359, 4.949
A9VII, 0.13, 0.00075, 0.023, 0.048
A8Ia, 22.01, 50000, 186.504, 391.276
A8Ib, 13.04, 8000, 74.601, 156.51
A8II, 7.17, 985, 26.177, 54.918
A8III, 3.59, 88, 7.824, 16.415
A8IV, 3.09, 52, 6.015, 12.618
A8V, 2.24, 16.9, 3.429, 7.194
A8VI, 2.1, 13.52, 3.067, 6.434
A8VII, 0.13, 0.0008, 0.024, 0.049
A7Ia, 22.01, 50000, 186.504, 391.276
A7Ib, 13.13, 8200, 75.528, 158.455
A7II, 7.2, 1000, 26.376, 55.335
A7III, 3.63, 91, 7.957, 16.692
A7IV, 3.19, 58, 6.352, 13.326
A7V, 2.47, 23.8, 4.069, 8.537
A7VI, 2.32, 19.04, 3.639, 7.635
A7VII, 0.13, 0.00085, 0.024, 0.051
A6Ia, 22.01, 50000, 186.504, 391.276
A6Ib, 13.22, 8400, 76.444, 160.375
A6II, 8, 1450, 31.76, 66.632
A6III, 3.66, 94, 8.087, 16.965
A6IV, 3.28, 64, 6.673, 13.999
A6V, 2.66, 30.7, 4.621, 9.695
A6VI, 2.5, 24.56, 4.133, 8.672
A6VII, 0.13, 0.0009, 0.025, 0.052
A5Ia, 22.01, 50000, 186.504, 391.276
A5Ib, 13.31, 8600, 77.348, 162.273
A5II, 8.65, 1900, 36.356, 76.274
A5III, 3.7, 97, 8.215, 17.234
A5IV, 3.37, 70, 6.978, 14.64
A5V, 2.82, 37.6, 5.114, 10.73
A5VI, 2.64, 30.08, 4.574, 9.597
A5VII, 0.14, 0.00095, 0.026, 0.054
A4Ia, 22.01, 50000, 186.504, 391.276
A4Ib, 13.4, 8800, 78.243, 164.149
A4II, 9.19, 2350, 40.433, 84.827
A4III, 3.73, 100, 8.341, 17.498
A4IV, 3.45, 76, 7.271, 15.255
A4V, 2.96, 44.5, 5.564, 11.673
A4VI, 2.78, 35.6, 4.977, 10.441
A4VII, 0.14, 0.001, 0.026, 0.055
A3Ia, 22.01, 50000, 186.504, 391.276
A3Ib, 13.48, 9000, 79.127, 166.004
A3II, 9.66, 2800, 44.135, 92.593
A3III, 4.84, 250, 13.188, 27.667
A3IV, 3.52, 82, 7.553, 15.845
A3V, 3.08, 51.4, 5.98, 12.545
A3VI, 2.89, 41.12, 5.348, 11.221
A3VII, 0.16, 0.0016, 0.033, 0.07
A2Ia, 22.01, 50000, 186.504, 391.276
A2Ib, 13.57, 9200, 80.001, 167.839
A2II, 10.08, 3250, 47.549, 99.756
A2III, 5.54, 400, 16.681, 34.997
A2IV, 3.59, 88, 7.824, 16.415
A2V, 3.2, 58.3, 6.368, 13.361
A2VI, 3, 46.64, 5.696, 11.95
A2VII, 0.17, 0.0022, 0.039, 0.082
A1Ia, 22.01, 50000, 186.504, 391.276
A1Ib, 13.65, 9400, 80.866, 169.653
A1II, 10.46, 3700, 50.734, 106.438
A1III, 6.07, 550, 19.561, 41.037
A1IV, 3.66, 94, 8.087, 16.965
A1V, 3.3, 65.2, 6.735, 14.129
A1VI, 3.1, 52.16, 6.024, 12.638
A1VII, 0.19, 0.0028, 0.044, 0.093
A0Ia, 22.01, 50000, 186.504, 391.276
A0Ib, 13.73, 9600, 81.722, 171.448
A0II, 10.81, 4150, 53.731, 112.725
A0III, 6.5, 700, 22.067, 46.296
A0IV, 3.73, 100, 8.341, 17.498
A0V, 3.39, 72.1, 7.082, 14.858
A0VI, 3.19, 57.68, 6.335, 13.29
A0VII, 0.2, 0.0034, 0.049, 0.102
B9Ia, 22.01, 50000, 186.504, 391.276
B9Ib, 13.81, 9800, 82.569, 173.225
B9II, 11.13, 4600, 56.569, 118.68
B9III, 6.87, 850, 24.317, 51.016
B9IV, 5, 280, 13.957, 29.28
B9V, 3.48, 79, 7.413, 15.553
B9VI, 3.27, 63.2, 6.631, 13.911
B9VII, 0.21, 0.004, 0.053, 0.111
B8Ia, 22.01, 50000, 186.504, 391.276
B8Ib, 13.89, 10000, 83.407, 174.984
B8II, 11.4, 5000, 58.978, 123.732
B8III, 7.2, 1000, 26.376, 55.335
B8IV, 5.76, 460, 17.889, 37.53
B8V, 3.57, 85.9, 7.73, 16.218
B8VI, 3.35, 68.72, 6.914, 14.506
B8VII, 0.21, 0.0046, 0.057, 0.119
B7Ia, 22.01, 50000, 186.504, 391.276
B7Ib, 15.6, 15000, 102.152, 214.31
B7II, 14.09, 10500, 85.467, 179.305
B7III, 7.49, 1150, 28.285, 59.34
B7IV, 6.34, 640, 21.1, 44.268
B7V, 3.65, 92.8, 8.035, 16.857
B7VI, 3.42, 74.24, 7.187, 15.077
B7VII, 0.22, 0.0052, 0.06, 0.126
B6Ia, 22.01, 50000, 186.504, 391.276
B6Ib, 16.94, 20000, 117.955, 247.464
B6II, 15.89, 16000, 105.502, 221.339
B6III, 13.04, 8000, 74.601, 156.51
B6IV, 6.8, 820, 23.884, 50.108
B6V, 3.73, 100, 8.341, 17.498
B6VI, 3.5, 80, 7.46, 15.651
B6VII, 0.23, 0.0058, 0.064, 0.133
B5Ia, 22.01, 50000, 186.504, 391.276
B5Ib, 18.05, 25000, 131.878, 276.674
B5II, 17.29, 21500, 122.299, 256.577
B5III, 15.6, 15000, 102.152, 214.31
B5IV, 7.2, 1000, 26.376, 55.335
B5V, 5.9, 500, 18.65, 39.128
B5VI, 5.54, 400, 16.681, 34.997
B5VII, 0.24, 0.0064, 0.067, 0.14
B4Ia, 22.01, 50000, 186.504, 391.276
B4Ib, 19.02, 30000, 144.465, 303.081
B4II, 18.45, 27000, 137.052, 287.528
B4III, 17.41, 22000, 123.713, 259.543
B4IV, 14.2, 10800, 86.679, 181.848
B4V, 7.2, 1000, 26.376, 55.335
B4VI, 6.75, 800, 23.591, 49.493
B4VII, 0.24, 0.007, 0.07, 0.146
B3Ia, 22.01, 50000, 186.504, 391.276
B3Ib, 19.87, 35000, 156.04, 327.365
B3II, 19.46, 32500, 150.364, 315.456
B3III, 18.84, 29000, 142.037, 297.987
B3IV, 17.08, 20600, 119.712, 251.149
B3V, 10.69, 4000, 52.751, 110.669
B3VI, 10.03, 3200, 47.182, 98.986
B3VII, 0.25, 0.0076, 0.073, 0.153
B2Ia, 22.01, 50000, 186.504, 391.276
B2Ib, 20.65, 40000, 166.814, 349.967
B2II, 20.35, 38000, 162.59, 341.106
B2III, 20.04, 36000, 158.254, 332.008
B2IV, 19.09, 30400, 145.425, 305.095
B2V, 12.55, 7000, 69.783, 146.402
B2VI, 11.77, 5600, 62.416, 130.946
B2VII, 0.25, 0.0083, 0.076, 0.159
B1Ia, 22.01, 50000, 186.504, 391.276
B1Ib, 21.35, 45000, 176.933, 371.197
B1II, 21.15, 43500, 173.959, 364.958
B1III, 21.08, 43000, 172.956, 362.854
B1IV, 20.68, 40200, 167.23, 350.841
B1V, 13.89, 10000, 83.407, 174.984
B1VI, 13.04, 8000, 74.601, 156.51
B1VII, 0.26, 0.0089, 0.079, 0.165
B0Ia, 22.01, 50000, 186.504, 391.276
B0Ib, 22.01, 50000, 186.504, 391.276
B0II, 22.01, 50000, 186.504, 391.276
B0III, 22.01, 50000, 186.504, 391.276
B0IV, 22.01, 50000, 186.504, 391.276
B0V, 22.01, 50000, 186.504, 391.276
B0VI, 20.65, 40000, 166.814, 349.967
B0VII, 0.27, 0.01, 0.083, 0.175
